seed,fold,model,rmse,mae,r2,converged,warnings
20250907,4,ridge,0.02951847994011741,0.02461704555882857,0.038920189215435164,True,
20250907,4,random_forest,0.0272741601121693,0.02235960025717894,0.17950819770794613,True,
20250908,0,mixed_linear,0.037378635721310366,0.030759964774113215,-0.10994624181349022,True,
20250908,0,mixed_hinge18,0.03754119558733159,0.030898662061087535,-0.11962155822010723,True,
20250908,0,ridge,0.035477568475169745,0.0289431889487772,8.577492455863478e-05,True,
20250908,0,random_forest,0.032871529040884924,0.025860312350263617,0.14158980880250582,True,
20250908,1,mixed_linear,0.029009272604836146,0.022836043977465838,0.14511791167127686,True,
20250908,1,mixed_hinge18,0.028945233822638597,0.022627036394855245,0.14888809800943492,True,
20250908,1,ridge,0.030032355260251616,0.02415687038439326,0.08375561804226894,True,
20250908,1,random_forest,0.029400365217531126,0.02258144226286727,0.12191210523499596,True,
20250908,2,mixed_linear,0.03426089739835958,0.027838223876649484,-0.11928626370919648,True,
20250908,2,mixed_hinge18,0.034225147361912484,0.027727457090088444,-0.1169516110358797,True,
20250908,2,ridge,0.032898451229586935,0.026830497083630188,-0.03203544060124619,True,
20250908,2,random_forest,0.0321149322341549,0.0251135466541821,0.016537679762329782,True,
20250908,3,mixed_linear,0.03665169713709912,0.028902539846826072,-0.17587037511223902,True,
20250908,3,mixed_hinge18,0.03724403265857213,0.02944959621569683,-0.2141844541195248,True,
20250908,3,ridge,0.03442980907588807,0.027458066109528646,-0.03762517300736756,True,
20250908,3,random_forest,0.03281384333094,0.025431232300157987,0.05749107605593162,True,
20250908,4,mixed_linear,0.03173612085796517,0.026778047070248556,-0.0014279547210640509,True,
20250908,4,mixed_hinge18,0.03173273375585891,0.02674473137394803,-0.001214207253684263,True,
20250908,4,ridge,0.03090560894690933,0.025633307264816156,0.050299562638982054,True,
20250908,4,random_forest,0.029140669998934894,0.02420020035156189,0.1556721913102973,True,
20250909,0,mixed_linear,0.030316559522611412,0.024539653894637168,0.02123499269918261,True,
20250909,0,mixed_hinge18,0.030712348909538962,0.024785511088769255,-0.00448781394136244,True,
20250909,0,ridge,0.02872567499428175,0.02319422714610064,0.1212626391038153,True,
20250909,0,random_forest,0.028501627576053234,0.022538065009603994,0.13491669970351305,True,
20250909,1,mixed_linear,0.035170105118528035,0.028044844511419757,0.050867348826728276,True,
20250909,1,mixed_hinge18,0.03511805586438751,0.027874340228821785,0.05367456768183121,True,
