seed,fold,model,nll,success,brier_12,brier_14,brier_16,brier_18,brier_20,mean_brier
20252905,1,bmi_age_height,0.6651643102587563,True,0.22446326709407932,0.08330852267979927,0.06380870960551185,0.031625593619453864,0.032067020348827566,0.08705462266953437
20252905,1,bmi_full,0.6922606067259965,True,0.245376016130213,0.09338750170866614,0.07042482168371554,0.03702064308761403,0.035859624319625534,0.09641372138596685
20252905,1,weight_height_full,0.6832031332280302,True,0.2417491849109727,0.09172382879563538,0.06931356956540272,0.03639837077554181,0.03543610401676162,0.09492421161286284
20252905,2,bmi_only,0.8533123496683702,True,0.34101714163643015,0.11511044090670038,0.09766612767410239,0.0947057041781923,0.07759346106726608,0.14521857509253827
20252905,2,bmi_age_height,0.8483036256393125,True,0.33484337338267794,0.11424517294758718,0.09615020917901379,0.09358709027819515,0.07700173887853035,0.14316551693320087
20252905,2,bmi_full,0.8483647898722604,True,0.33894599206339393,0.11415873026887062,0.0963344627210215,0.09382516226919946,0.07712984306529472,0.14407883807755603
20252905,2,weight_height_full,0.8503719515779704,True,0.3386609058714888,0.11348779515550522,0.0964826423657143,0.09394410215075004,0.07716749054023408,0.14394858721673848
20252905,3,bmi_only,0.5645853829491817,True,0.25287696643820834,0.051215729426124755,0.04383899238959769,0.005485954056228132,0.0028002022169339824,0.07124356890541858
20252905,3,bmi_age_height,0.5617926385026579,True,0.25352165975954083,0.050518951416190054,0.04298035522501847,0.005632069683132817,0.0028942839466621867,0.07110946400610887
20252905,3,bmi_full,0.5706174583110316,True,0.2616598417988141,0.051788754996908395,0.04313443788308187,0.00643762564248715,0.003392232641289557,0.07328257859251622
20252905,3,weight_height_full,0.5707288715036575,True,0.2618830571487293,0.052337344645434415,0.043466454175803464,0.0069039663451926385,0.0037013845700044424,0.07365844137703285
20252905,4,bmi_only,0.7777331187511735,True,0.41403050640034866,0.11707964542580017,0.083731000895149,0.02278719697141435,0.02077966436734241,0.1316816028120109
20252905,4,bmi_age_height,0.7873003577469544,True,0.4242724834584647,0.1162892702295685,0.08326579309738201,0.021815273245007018,0.020184326495646044,0.13316542930521363
20252905,4,bmi_full,0.7913694930320432,True,0.42110105720534263,0.1152009254127629,0.08418185524950529,0.022324177678756257,0.020480337664518483,0.13265767064217712
20252905,4,weight_height_full,0.7898368734426557,True,0.4197784168186755,0.11518127988016207,0.08412194854983408,0.022371080584652408,0.020512600407303978,0.1323930652481256
20252906,0,bmi_only,0.679015138962617,True,0.28948470918553865,0.10694669573870534,0.09308865841175867,0.006641563639170091,0.003925917355319931,0.10001750886609853
20252906,0,bmi_age_height,0.7254713917908066,True,0.31880088787364574,0.11392371128824688,0.09728951071081017,0.0070332761245395685,0.0039789714322800455,0.10820527148590449
20252906,0,bmi_full,0.721587098273522,True,0.3187293473637956,0.11399628196003224,0.09668348120677063,0.0072475457511123305,0.003993999833687123,0.10813013122307957
20252906,0,weight_height_full,0.7179038980645501,True,0.3192626817838253,0.11417888687738671,0.09671056567104076,0.007592994696234738,0.0042085392015192204,0.10839073364600134
20252906,1,bmi_only,0.8254556420818605,True,0.28430791196529137,0.10005916545415429,0.06547433126331388,0.05836634597622926,0.03966785795864717,0.10957512252352719
20252906,1,bmi_age_height,0.840498782931048,True,0.28754785882206096,0.10265545916665544,0.06710519485508117,0.059534232776060306,0.04036726256335589,0.11144200163664275
20252906,1,bmi_full,0.8771920346845008,True,0.2864940182147855,0.1096068101952168,0.0734126151247461,0.06342840471822545,0.04264494985726532,0.11511735962204783
20252906,1,weight_height_full,0.8767042774669003,True,0.2857173289373822,0.10954711119654298,0.0732714555865281,0.06349136820883095,0.04264803688740985,0.1149350601633388
20252906,2,bmi_only,0.5965631705707367,True,0.24918115743524685,0.07583873045325745,0.07074089413487392,0.021315738313380853,0.019436880891295253,0.08730268024561087
20252906,2,bmi_age_height,0.5923081026530569,True,0.24497765417413989,0.07401922193575187,0.06912572631155058,0.020927912220833,0.019168802495373224,0.0856438634275297
20252906,2,bmi_full,0.5883027388445216,True,0.2484478719216509,0.07276199912724915,0.06786594852917412,0.02086599494490162,0.019103610098026674,0.0858090849242005
20252906,2,weight_height_full,0.5865840064595854,True,0.24657711646562128,0.0722851800713916,0.06748653888287241,0.020886753288481948,0.01911497486475203,0.08527011271462386
20252906,3,bmi_only,0.7015102168264782,True,0.34427656731642886,0.07111345721546297,0.05987556144838981,0.05359296362278053,0.05451614030438529,0.1166749379814895
20252906,3,bmi_age_height,0.7142499998459156,True,0.3477490127631244,0.07238645968419898,0.059982523038397864,0.053626422116352324,0.05450720242581671,0.11765032400557807
20252906,3,bmi_full,0.707986285925594,True,0.3454436869611833,0.07217631848630518,0.06079595387169424,0.05433633611936812,0.05514558424367324,0.11757957593644482
20252906,3,weight_height_full,0.7076659426287764,True,0.34483761931163925,0.07146072370989826,0.060412625670096406,0.05409273382637104,0.05497431079777514,0.11715560266315603
20252906,4,bmi_only,0.6439001345128615,True,0.25451301663992776,0.09020066473287347,0.07155444494305978,0.03713216237346181,0.01836260067638097,0.09435257787314075
20252906,4,bmi_age_height,0.640106761931054,True,0.2540839915836358,0.08877662484018227,0.07008610090844018,0.03623033705539377,0.0179526714604824,0.09342594516962689
20252906,4,bmi_full,1.0748782414853213,True,0.28558499660533915,0.09902817579003642,0.0766506686708513,0.04049490857454949,0.019060088622740185,0.10416376765270333
20252906,4,weight_height_full,1.0410153777599194,True,0.2842908801720597,0.09858541995145674,0.07633720300603018,0.04025760040340181,0.01888713901590802,0.10367164850977131
20252907,0,bmi_only,0.6762220468321184,True,0.27783563598830097,0.09089789280077858,0.08700282636958344,0.0529686829673494,0.05449305582659017,0.11263961879052051
20252907,0,bmi_age_height,0.674564117760331,True,0.27694982241979094,0.09044486551433373,0.08659580097723503,0.052739602026368314,0.054323052127286525,0.1122106286130029
20252907,0,bmi_full,0.7005716458700041,True,0.288788542157029,0.09634583688089818,0.09072501983148296,0.05686316478965397,0.05723266683339389,0.11799104609849158
20252907,0,weight_height_full,0.6976125530126369,True,0.2872754296588329,0.09577661011262517,0.09017340995962382,0.05646980708015488,0.056958942396689895,0.11733083984158532
20252907,1,bmi_only,0.5748778827710802,True,0.25726819882931506,0.060023855354124404,0.03101552563491545,0.006987338796327137,0.0035381255737145343,0.07176660883767931
20252907,1,bmi_age_height,0.5853534616280579,True,0.2628163812251304,0.06279600715994975,0.03271977832562723,0.008098922130050503,0.004207234441962011,0.07412766465654398
20252907,1,bmi_full,0.6032537553614451,True,0.26513985793212835,0.06719959225882001,0.03569105453811069,0.01015511831881055,0.00548693623612007,0.07673451185679793
