seed_index,seed,model,roc_auc,pr_auc,brier
9,20330913,logistic_bmi,0.813505622978937,0.9667734722762888,0.1729290680765112
9,20330913,logistic_full,0.7769347790839504,0.9528837334207161,0.17179185457087592
9,20330913,rf_bmi,0.7701685332721054,0.958292348280636,0.13634983851438534
9,20330913,rf_full,0.814376175125559,0.967987805380953,0.11462924861961686
10,20330914,logistic_bmi,0.8097527943692687,0.9675599019450215,0.17582133253625162
10,20330914,logistic_full,0.7731452528200518,0.9520816555795049,0.1788525182111584
10,20330914,rf_bmi,0.7813019610686651,0.9611348741871457,0.13622267804808127
10,20330914,rf_full,0.8305301521985888,0.9733033115773257,0.11459587362470014
11,20330915,logistic_bmi,0.8166634742527304,0.9676283756017001,0.17295454273898994
11,20330915,logistic_full,0.7877810104745439,0.9533601673826111,0.1716696769981692
11,20330915,rf_bmi,0.799770569166117,0.9645288946141125,0.13002342529228894
11,20330915,rf_full,0.8041370059185563,0.9619703685551734,0.11217808380783527
12,20330916,logistic_bmi,0.8104121436606433,0.9666749783950414,0.1743366496879025
12,20330916,logistic_full,0.757444699233319,0.9424701906752802,0.17364231128784466
12,20330916,rf_bmi,0.7567802340230778,0.9549238439688498,0.13717172864829832
12,20330916,rf_full,0.7770913181446959,0.96109917059066,0.11825881592672982
13,20330917,logistic_bmi,0.8108196850084464,0.9660520857771439,0.17322001017742966
13,20330917,logistic_full,0.7716684844291792,0.9529761348537522,0.17082222332749133
13,20330917,rf_bmi,0.7863491775757615,0.9617337692603087,0.1318670829419766
13,20330917,rf_full,0.826002604284685,0.9708856231382279,0.11003195865694237
14,20330918,logistic_bmi,0.8186782600639106,0.9693419854416787,0.17380771261383884
14,20330918,logistic_full,0.782624768499638,0.9543378845910124,0.17516001885946286
14,20330918,rf_bmi,0.7742723461422666,0.9584085841097865,0.13692798869282707
14,20330918,rf_full,0.8025805983812369,0.9643741303928366,0.11606635939801005
15,20330919,logistic_bmi,0.8165883467827637,0.9688911820248495,0.1726237160468798
15,20330919,logistic_full,0.7724857423973738,0.9476075173766424,0.16984638546866362
15,20330919,rf_bmi,0.800579911559058,0.9649564729005977,0.12884303990411924
15,20330919,rf_full,0.7952644718569094,0.9634793288546832,0.113247637819669
16,20330920,logistic_bmi,0.809639035669437,0.9660912268698951,0.17377650676273942
16,20330920,logistic_full,0.7759900662551796,0.9504838048603428,0.1751867095342401
16,20330920,rf_bmi,0.7951821740439643,0.9619522686268839,0.13429013489962552
16,20330920,rf_full,0.8247039665491436,0.9712362855241503,0.11101427918683553
17,20330921,logistic_bmi,0.8054244047457216,0.9644346449387761,0.17399055893604207
17,20330921,logistic_full,0.7708818414085313,0.9484203473551629,0.17560069404862866
17,20330921,rf_bmi,0.7660590002406917,0.9584066434004228,0.13728097777097054
17,20330921,rf_full,0.817700112489793,0.9700504292537768,0.11220227184536512
18,20330922,logistic_bmi,0.809073746776117,0.9662477022801004,0.17361710553279272
18,20330922,logistic_full,0.7643446236023139,0.9526714912323568,0.1710932121877216
18,20330922,rf_bmi,0.8000140788475907,0.9640579770982893,0.13338030704006454
18,20330922,rf_full,0.8211294700089349,0.9715988286661039,0.11642150400258722
19,20330923,logistic_bmi,0.8094681559227356,0.9656636730758854,0.17547047755354894
19,20330923,logistic_full,0.7658377871032541,0.9494213482362526,0.17771236063808094
19,20330923,rf_bmi,0.7672795295771632,0.9577443028960235,0.1392649203498534
19,20330923,rf_full,0.8161824570308155,0.9694078154068084,0.11666852602714618
20,20330924,logistic_bmi,0.813362216119376,0.9659705975768733,0.1736519934850609
20,20330924,logistic_full,0.7258120866604449,0.9369515571499483,0.17837047797154432
20,20330924,rf_bmi,0.775142193339438,0.9598950616111839,0.13540425626325633
20,20330924,rf_full,0.7988272460948344,0.9667453393145998,0.11662911500890176
21,20330925,logistic_bmi,0.8113791328920369,0.9650437378681472,0.17366669209678562
21,20330925,logistic_full,0.7771025167702459,0.9513499860519511,0.1738399007498454
21,20330925,rf_bmi,0.77132527475405,0.9574551009320417,0.13633028001980665
21,20330925,rf_full,0.8308191009074738,0.9733497265184992,0.11247205362571837
22,20330926,logistic_bmi,0.8158109285292053,0.9676966241250426,0.17293331540154985
22,20330926,logistic_full,0.7746983571656619,0.9506661748336246,0.17345219101464693
22,20330926,rf_bmi,0.787818574209527,0.9623426896709211,0.13360227843653139
22,20330926,rf_full,0.8328069777910733,0.9734049107676223,0.11290184694026899
23,20330927,logistic_bmi,0.8162200409072116,0.9680200137525015,0.1735478778982625
23,20330927,logistic_full,0.7735916670946738,0.9507664117816879,0.17173181657875133
23,20330927,rf_bmi,0.7550675492633803,0.9563267554929956,0.13997498900706176
23,20330927,rf_full,0.8076099091723009,0.9655544179434179,0.11440240161896793
24,20330928,logistic_bmi,0.8146371675533943,0.9674174119799575,0.1734603023105763
24,20330928,logistic_full,0.7763637297465527,0.950990881030085,0.17484811959247618
24,20330928,rf_bmi,0.7915858844950415,0.9623511640741733,0.13482989966361705
24,20330928,rf_full,0.8411591785929032,0.9748563484074877,0.10845273142639651
25,20330929,logistic_bmi,0.7866462029912032,0.9624770346128022,0.17574841696901627
25,20330929,logistic_full,0.7431907824838206,0.9433681014019194,0.1745816728234592
25,20330929,rf_bmi,0.769311173750907,0.9473177077377668,0.13798020116124887
25,20330929,rf_full,0.8083031766029313,0.958256751123765,0.1122917242565267
26,20330930,logistic_bmi,0.8137674613461128,0.965513227887515,0.17149422634916225
26,20330930,logistic_full,0.7690179550624957,0.9505984205922084,0.17287551849384838
26,20330930,rf_bmi,0.7851880049829874,0.9611039642931887,0.13225384278644595
26,20330930,rf_full,0.8148802341237854,0.9694039134501337,0.11704144991060984
27,20330931,logistic_bmi,0.8084583057647765,0.9667991443028222,0.175553091122402
27,20330931,logistic_full,0.7806683927857507,0.9542779025224152,0.17298724962628315
27,20330931,rf_bmi,0.7275157279257687,0.9480547131422795,0.14466613608492826
27,20330931,rf_full,0.7735064286354519,0.9568785588530135,0.12394989281234103
28,20330932,logistic_bmi,0.8074068434478495,0.9659709969329362,0.17611430713743764
28,20330932,logistic_full,0.7767914125072152,0.9513732688064549,0.17668979846555383
28,20330932,rf_bmi,0.7755270957391867,0.9564097830104423,0.14029778283572228
28,20330932,rf_full,0.8150996143926529,0.9649606471377226,0.11594942318950782
29,20330933,logistic_bmi,0.8122313563529561,0.9672446771541975,0.1731986835752301
29,20330933,logistic_full,0.7778722410040917,0.9526835203815088,0.1733029349254468
29,20330933,rf_bmi,0.778022032691529,0.9597611129160069,0.13547831197269397
29,20330933,rf_full,0.8162373222394455,0.9696625836763387,0.11602177098456509
30,20330934,logistic_bmi,0.8108458688451639,0.9670661191926612,0.1741764346265293
30,20330934,logistic_full,0.7798332895257625,0.9541745157485153,0.17472596038407825
30,20330934,rf_bmi,0.781211224003732,0.9606408494157176,0.13566334719766152
30,20330934,rf_full,0.8164648799219341,0.9670631024118035,0.11626157255258879
31,20330935,logistic_bmi,0.8176073008593353,0.9690631502252951,0.17360719759891519
31,20330935,logistic_full,0.7794043982803283,0.9546285466772896,0.17400728239457108
31,20330935,rf_bmi,0.781494915803861,0.9616614991164206,0.13523807061334522
31,20330935,rf_full,0.8081710489345718,0.9629699538347785,0.11964008053700081
32,20330936,logistic_bmi,0.8043913113973226,0.9654204300891587,0.17407682894654397
32,20330936,logistic_full,0.7749562880987432,0.9530003239057386,0.17257880830482852
32,20330936,rf_bmi,0.7735996632355789,0.9598345623820853,0.1338878618068513
32,20330936,rf_full,0.825783586561249,0.9713780635992771,0.11392126937834239
33,20330937,logistic_bmi,0.8163864089774324,0.9687274883668089,0.17355507816405677
33,20330937,logistic_full,0.7880525972855438,0.9545818895763346,0.17606356039595356
33,20330937,rf_bmi,0.7508824657923301,0.948737274148642,0.1429560695935914
33,20330937,rf_full,0.8061760017079941,0.9649787765416089,0.11855519504491845
34,20330938,logistic_bmi,0.8176279256661036,0.9685587598956786,0.17347617416797295
34,20330938,logistic_full,0.7923876738581601,0.957484545900654,0.17016088186335904
34,20330938,rf_bmi,0.7543635464596953,0.9517277625683587,0.14162809525086129
34,20330938,rf_full,0.8205039180083389,0.9709936857435372,0.11378270709947987
35,20330939,logistic_bmi,0.816666817727265,0.9688047769020685,0.17361681797372208
35,20330939,logistic_full,0.7784268146657705,0.9510600187416468,0.17481534303808638
35,20330939,rf_bmi,0.790785364040933,0.9595144508154927,0.13258120526409276
35,20330939,rf_full,0.8364508010743452,0.973832985485155,0.11248085237293853
36,20330940,logistic_bmi,0.8147181763159161,0.9678687173502094,0.17470260855658473
36,20330940,logistic_full,0.7808258986343134,0.9571577620822886,0.17429956107765984
36,20330940,rf_bmi,0.7745676595376156,0.9581598270472383,0.1335897783325831
36,20330940,rf_full,0.7960675905532766,0.9626898314219529,0.1164831399031293
37,20330941,logistic_bmi,0.8010136770264044,0.9619842602029222,0.17502090418756014
37,20330941,logistic_full,0.7457941406615872,0.9467799710419021,0.18391648471346533
37,20330941,rf_bmi,0.7794063721387883,0.9598668600808442,0.13061203726525072
37,20330941,rf_full,0.8085719436161314,0.9699733755594023,0.11810880606164623
38,20330942,logistic_bmi,0.8140618482364701,0.9684064115528775,0.17284523599223242
38,20330942,logistic_full,0.788793116470743,0.9561097800971502,0.16962946511049484
38,20330942,rf_bmi,0.7475422743079176,0.9378968640195777,0.1391525217364294
38,20330942,rf_full,0.8044974969259189,0.9609327705096512,0.11455406389719137
39,20330943,logistic_bmi,0.8116484638647966,0.967580547983804,0.17420838761894766
39,20330943,logistic_full,0.7576109464550629,0.9430445232485918,0.17488615056289566
39,20330943,rf_bmi,0.7804412580729319,0.9612991602707165,0.13267405590478487
39,20330943,rf_full,0.8049289662721992,0.9664484958777222,0.113552561972445
40,20330944,logistic_bmi,0.8082344138194283,0.9670679080832394,0.17423143689438922
40,20330944,logistic_full,0.7721219884811281,0.9526701582198969,0.17446696129402736
40,20330944,rf_bmi,0.7523221135593021,0.9566673080406092,0.14039466741044898
40,20330944,rf_full,0.8006063370927305,0.9668789498628712,0.11568803042105914
41,20330945,logistic_bmi,0.8173548081077262,0.9691087681347923,0.1742183206257418
41,20330945,logistic_full,0.7667149053504676,0.9499516527537228,0.17811967444459365
