target,variant,replicate,scope,mode,precision_w,recall_w,specificity_w,f1_w,accuracy_w,precision_raw,recall_raw,n,positive,predicted_positive,coverage_w,retest_rate_w,qc_fail_rate_w,negative_clear_rate_w,positive_call_rate_w,positive_precision_w,positive_recall_all_w,negative_npv_w,false_negative_clear_rate_w,followup_recall_w,followup_precision_w,negative_specific_clear_w,retest_records,negative_records,positive_call_records
ANY,group_class_weighted,21,overall,three_way,,,,,,,,,,,0.8031746031746032,0.19682539682539682,0.18718820861678004,0.7821995464852608,0.020975056689342405,0.7297297297297297,0.11831726555652936,0.8807073488911437,0.7212971078001753,0.2787028921998247,0.1655387818844352,0.7912488605287148,124.0,477.0,6.0
ANY,group_class_weighted,22,overall_qcfail_negative,low,0.5226480836236934,0.1189532117367169,0.9818759095118402,0.1937984496124031,0.8585034013605444,0.3333333333333333,0.05128205128205128,588.0,78.0,12.0,,,,,,,,,,,,,,,
ANY,group_class_weighted,22,overall_qcfail_negative,high,0.8108108108108109,0.1189532117367169,0.9953697579044848,0.2074688796680498,0.8700680272108845,0.6666666666666666,0.05128205128205128,588.0,78.0,6.0,,,,,,,,,,,,,,,
ANY,group_class_weighted,22,overall,three_way,,,,,,,,,,,0.8563492063492063,0.14365079365079364,0.13208616780045349,0.8353741496598639,0.020975056689342405,0.8108108108108109,0.1189532117367169,0.873914223669924,0.7367168913560667,0.26328310864393334,0.22865013774104684,0.8518322529435111,83.0,499.0,6.0
ANY,group_class_weighted,23,overall_qcfail_negative,low,0.0,0.0,0.9934288342752003,0.0,0.8570294784580496,0.0,0.0,612.0,84.0,3.0,,,,,,,,,,,,,,,
ANY,group_class_weighted,23,overall_qcfail_negative,high,0.0,0.0,0.9960573005651203,0.0,0.8592970521541947,0.0,0.0,612.0,84.0,2.0,,,,,,,,,,,,,,,
ANY,group_class_weighted,23,overall,three_way,,,,,,,,,,,0.8220332577475434,0.1779667422524565,0.1756991685563114,0.8186318972033256,0.0034013605442176874,0.0,0.0,0.8565163196528323,0.8554913294797687,0.1445086705202312,0.10939779120650137,0.8127655846147105,114.0,496.0,2.0
ANY,group_class_weighted,24,overall_qcfail_negative,low,0.0,0.0,0.987923009183545,0.0,0.8903628117913829,0.0,0.0,634.0,63.0,7.0,,,,,,,,,,,,,,,
ANY,group_class_weighted,24,overall_qcfail_negative,high,0.0,0.0,0.9962259403698579,0.0,0.8978458049886618,0.0,0.0,634.0,63.0,2.0,,,,,,,,,,,,,,,
ANY,group_class_weighted,24,overall,three_way,,,,,,,,,,,0.8367724867724868,0.1632275132275132,0.1557445200302343,0.833371126228269,0.003401360544217687,0.0,0.0,0.9036778377397852,0.8128587830080369,0.18714121699196332,0.1109095032887276,0.835618736109364,109.0,523.0,2.0
ANY,group_class_weighted,25,overall_qcfail_negative,low,0.35294117647058826,0.02683363148479429,0.9928589976629447,0.04987531172069828,0.8704081632653058,0.4,0.02564102564102564,596.0,78.0,5.0,,,,,,,,,,,,,,,
ANY,group_class_weighted,25,overall_qcfail_negative,high,0.46153846153846156,0.02683363148479429,0.9954557257855102,0.050718512256973824,0.8726757369614508,0.5,0.02564102564102564,596.0,78.0,4.0,,,,,,,,,,,,,,,
ANY,group_class_weighted,25,overall,three_way,,,,,,,,,,,0.8613378684807258,0.1386621315192744,0.13639455782312926,0.853968253968254,0.0073696145124716545,0.46153846153846156,0.026833631484794274,0.8859532660647903,0.7683363148479426,0.23166368515205726,0.2010869565217391,0.8663983380940015,83.0,509.0,4.0
ANY,group_class_weighted,26,overall_qcfail_negative,low,0.0,0.0,0.9915966386554622,0.0,0.8963718820861677,0.0,0.0,608.0,59.0,4.0,,,,,,,,,,,,,,,
ANY,group_class_weighted,26,overall_qcfail_negative,high,0.0,0.0,1.0,0.0,0.9039682539682539,0.0,0.0,608.0,59.0,0.0,,,,,,,,,,,,,,,
ANY,group_class_weighted,26,overall,three_way,,,,,,,,,,,0.8018140589569159,0.19818594104308387,0.19058956916099776,0.8018140589569159,0.0,0.0,0.0,0.9072398190045249,0.7744982290436837,0.22550177095631638,0.10926773455377571,0.8047159162172329,120.0,488.0,0.0
ANY,group_class_weighted,27,overall_qcfail_negative,low,0.5853658536585367,0.1006711409395973,0.9888568432092292,0.17179670722977808,0.868820861678004,0.2857142857142857,0.025974025974025976,601.0,77.0,7.0,,,,,,,,,,,,,,,
ANY,group_class_weighted,27,overall_qcfail_negative,high,0.7058823529411765,0.1006711409395973,0.9934452018877817,0.17621145374449335,0.8727891156462579,0.4,0.025974025974025976,601.0,77.0,5.0,,,,,,,,,,,,,,,
ANY,group_class_weighted,27,overall,three_way,,,,,,,,,,,0.7969387755102042,0.20306122448979588,0.19909297052154196,0.7776643990929706,0.019274376417233563,0.7058823529411765,0.10067114093959734,0.8614958448753463,0.7969798657718123,0.20302013422818796,0.12340642529321776,0.7746460409019402,119.0,477.0,5.0
ANY,group_class_weighted,28,overall_qcfail_negative,low,0.4925373134328358,0.12711864406779655,0.9773996277585748,0.2020820575627678,0.8522675736961448,0.3333333333333333,0.058823529411764705,602.0,85.0,15.0,,,,,,,,,,,,,,,
ANY,group_class_weighted,28,overall_qcfail_negative,high,0.5892857142857143,0.12711864406779655,0.9847115128955064,0.209125475285171,0.8585034013605438,0.4166666666666667,0.058823529411764705,602.0,85.0,12.0,,,,,,,,,,,,,,,
ANY,group_class_weighted,28,overall,three_way,,,,,,,,,,,0.8008314436885865,0.19916855631141345,0.19293272864701436,0.7690854119425549,0.03174603174603176,0.5892857142857143,0.1271186440677966,0.8652579852579851,0.7041602465331279,0.2958397534668722,0.18854337152209497,0.7802889302490472,124.0,466.0,12.0
ANY,group_class_weighted,29,overall_qcfail_negative,low,0.0,0.0,0.9932642487046631,0.0,0.8693877551020404,0.0,0.0,622.0,76.0,3.0,,,,,,,,,,,,,,,
ANY,group_class_weighted,29,overall_qcfail_negative,high,0.0,0.0,1.0,0.0,0.8752834467120177,0.0,0.0,622.0,76.0,0.0,,,,,,,,,,,,,,,
ANY,group_class_weighted,29,overall,three_way,,,,,,,,,,,0.8134542705971277,0.18654572940287223,0.18065003779289493,0.8134542705971277,0.0,0.0,0.0,0.8784612525552871,0.7927272727272727,0.20727272727272722,0.1385737439222042,0.8164075993091535,127.0,495.0,0.0
ANY,group_class_weighted,30,overall_qcfail_negative,low,0.6030150753768845,0.12644889357218125,0.9899631558887053,0.20905923344947738,0.8970521541950115,0.2857142857142857,0.034482758620689655,607.0,58.0,7.0,,,,,,,,,,,,,,,
ANY,group_class_weighted,30,overall_qcfail_negative,high,1.0,0.12644889357218125,1.0,0.22450888681010292,0.9060090702947847,1.0,0.034482758620689655,607.0,58.0,2.0,,,,,,,,,,,,,,,
ANY,group_class_weighted,30,overall,three_way,,,,,,,,,,,0.8208994708994709,0.1791005291005291,0.1701436130007559,0.8072940287226001,0.013605442176870748,1.0,0.12644889357218125,0.9021113243761997,0.7344573234984194,0.2655426765015806,0.14826436556187486,0.8160758903993562,113.0,492.0,2.0
ANY,group_class_weighted,31,overall_qcfail_negative,low,0.8823529411764706,0.10909090909090909,0.997313633310947,0.1941747572815534,0.8588435374149657,0.8,0.04597701149425287,599.0,87.0,5.0,,,,,,,,,,,,,,,
ANY,group_class_weighted,31,overall_qcfail_negative,high,1.0,0.10909090909090909,1.0,0.19672131147540983,0.8611111111111108,1.0,0.04597701149425287,599.0,87.0,4.0,,,,,,,,,,,,,,,
ANY,group_class_weighted,31,overall,three_way,,,,,,,,,,,0.8229024943310658,0.17709750566893429,0.17482993197278915,0.8058956916099772,0.017006802721088437,1.0,0.10909090909090913,0.8588913899831176,0.7294545454545455,0.2705454545454546,0.2172897196261682,0.8200134318334452,110.0,485.0,4.0
ANY,group_class_weighted,32,overall_qcfail_negative,low,0.0,0.0,0.9940195953683674,0.0,0.8857142857142856,0.0,0.0,612.0,67.0,3.0,,,,,,,,,,,,,,,
ANY,group_class_weighted,32,overall_qcfail_negative,high,0.0,0.0,0.9955465071892098,0.0,0.8870748299319726,0.0,0.0,612.0,67.0,2.0,,,,,,,,,,,,,,,
ANY,group_class_weighted,32,overall,three_way,,,,,,,,,,,0.787944066515495,0.2120559334845049,0.21069538926681786,0.7839758125472409,0.003968253968253969,0.0,0.0,0.8925472425761666,0.7731529656607697,0.22684703433922984,0.11441567529741078,0.785299232302668,137.0,473.0,2.0
ANY,group_class_weighted,33,overall_qcfail_negative,low,0.5,0.0765306122448979,0.988226059654631,0.13274336283185834,0.8666666666666661,0.375,0.0379746835443038,618.0,79.0,8.0,,,,,,,,,,,,,,,
ANY,group_class_weighted,33,overall_qcfail_negative,high,0.6206896551724138,0.0765306122448979,0.9928048142333856,0.13626040878122628,0.8706349206349201,0.5,0.0379746835443038,618.0,79.0,6.0,,,,,,,,,,,,,,,
ANY,group_class_weighted,33,overall,three_way,,,,,,,,,,,0.8430083144368857,0.15699168556311413,0.15302343159486015,0.8265684051398335,0.016439909297052153,0.6206896551724138,0.07653061224489795,0.8735311599835398,0.7840136054421768,0.2159863945578231,0.16604924820222272,0.8331152974010116,104.0,508.0,6.0
ANY,group_class_weighted,34,overall_qcfail_negative,low,0.40816326530612235,0.06944444444444443,0.9890648567119154,0.11869436201780413,0.8989795918367339,0.16666666666666666,0.017543859649122806,606.0,57.0,6.0,,,,,,,,,,,,,,,
ANY,group_class_weighted,34,overall_qcfail_negative,high,0.6315789473684211,0.06944444444444443,0.9956008044243337,0.12513034410844628,0.9048752834467113,0.3333333333333333,0.017543859649122806,606.0,57.0,3.0,,,,,,,,,,,,,,,
ANY,group_class_weighted,34,overall,three_way,,,,,,,,,,,0.7985260770975057,0.20147392290249433,0.19557823129251703,0.7877551020408162,0.010770975056689343,0.6315789473684211,0.06944444444444443,0.9142199194012665,0.6898148148148149,0.3101851851851852,0.14316239316239313,0.7983911513323277,124.0,479.0,3.0
ANY,group_class_weighted,35,overall_qcfail_negative,low,0.4545454545454546,0.07302823758519966,0.9884511741306301,0.12583892617449674,0.8818594104308389,0.2857142857142857,0.029850746268656716,591.0,67.0,7.0,,,,,,,,,,,,,,,
ANY,group_class_weighted,35,overall_qcfail_negative,high,0.7894736842105263,0.07302823758519966,0.997433594251251,0.1336898395721926,0.8897959183673468,0.6666666666666666,0.029850746268656716,591.0,67.0,3.0,,,,,,,,,,,,,,,
ANY,group_class_weighted,35,overall,three_way,,,,,,,,,,,0.8198412698412699,0.18015873015873018,0.17222222222222222,0.8090702947845805,0.010770975056689341,0.7894736842105263,0.0730282375851996,0.9000840807174888,0.6942551119766308,0.30574488802336897,0.1864608076009501,0.8242012062107018,107.0,481.0,3.0
ANY,group_class_weighted,36,overall_qcfail_negative,low,0.0,0.0,0.9829738933030645,0.0,0.8836734693877544,0.0,0.0,606.0,61.0,7.0,,,,,,,,,,,,,,,
ANY,group_class_weighted,36,overall_qcfail_negative,high,0.0,0.0,0.9905410518350359,0.0,0.8904761904761899,0.0,0.0,606.0,61.0,4.0,,,,,,,,,,,,,,,
ANY,group_class_weighted,36,overall,three_way,,,,,,,,,,,0.7902116402116401,0.20978835978835977,0.20298563869992442,0.781708238851096,0.008503401360544217,0.0,0.0,0.9057242312898859,0.7295173961840627,0.27048260381593714,0.12517313019390583,0.7875730440997184,133.0,469.0,4.0
