target,variant,seed,scope,mode,precision_w,recall_w,specificity_w,f1_w,accuracy_w,precision_raw,recall_raw,n,positive,predicted_positive,coverage_w,retest_rate_w,qc_fail_rate_w,negative_clear_rate_w,positive_call_rate_w,positive_precision_w,positive_recall_all_w,negative_npv_w,false_negative_clear_rate_w,followup_recall_w,followup_precision_w,negative_specific_clear_w,retest_records,negative_records,positive_call_records
T21,unweighted,20360827,overall_qcfail_negative,low,0.2857142857142857,0.1428571428571428,0.9912891986062716,0.1904761904761904,0.9710884353741496,0.2857142857142857,0.1538461538461538,605.0,13.0,7.0,,,,,,,,,,,,,,,
T21,unweighted,20360827,overall_qcfail_negative,high,0.1999999999999999,0.0714285714285714,0.9930313588850176,0.1052631578947368,0.9710884353741496,0.2,0.0769230769230769,605.0,13.0,5.0,,,,,,,,,,,,,,,
T21,unweighted,20360827,qc_pass,low,0.2608695652173913,0.1578947368421052,0.9900816802800466,0.1967213114754098,0.9720319634703194,0.2857142857142857,0.2,500.0,10.0,7.0,,,,,,,,,,,,,,,
T21,unweighted,20360827,qc_pass,high,0.1875,0.0789473684210526,0.9924154025670944,0.111111111111111,0.9726027397260272,0.2,0.1,500.0,10.0,5.0,,,,,,,,,,,,,,,
T21,unweighted,20360827,overall,three_way,,,,,,,,,,,0.8303099017384734,0.1696900982615268,0.1662887377173091,0.8218065003779291,0.0085034013605442,0.1999999999999999,0.0714285714285714,0.982064842492527,0.619047619047619,0.3809523809523809,0.0509013785790031,0.8267518389469608,107.0,493.0,5.0
ANY,unweighted,20360827,overall_qcfail_negative,low,0.4004576659038901,0.1482213438735178,0.9712382903981264,0.2163610138058933,0.8768059604794294,0.3043478260869565,0.1044776119402985,605.0,67.0,23.0,,,,,,,,,,,,,,,
ANY,unweighted,20360827,overall_qcfail_negative,high,0.4123711340206185,0.1185770750988142,0.9780993852459016,0.1841903300076746,0.879478458049886,0.2941176470588235,0.0746268656716417,605.0,67.0,17.0,,,,,,,,,,,,,,,
ANY,unweighted,20360827,qc_pass,low,0.427596119295724,0.1767151767151767,0.9708166929249258,0.2500788063465378,0.8836105675146769,0.3181818181818182,0.1296296296296296,489.0,54.0,22.0,,,,,,,,,,,,,,,
ANY,unweighted,20360827,qc_pass,high,0.4368932038834952,0.1403326403326403,0.9776865863041806,0.2124311565696302,0.8857305936073057,0.3125,0.0925925925925925,489.0,54.0,16.0,,,,,,,,,,,,,,,
ANY,unweighted,20360827,overall,three_way,,,,,,,,,,,0.8090432998596265,0.1909567001403736,0.1831821617535903,0.7760501025807149,0.0329931972789115,0.4123711340206185,0.1185770750988142,0.9012383470154444,0.6679841897233203,0.33201581027668,0.170106075216972,0.7900565964090555,121.0,467.0,17.0
