target,variant,scope,mode,seeds,precision_w_mean,precision_w_sd,precision_w_q025,precision_w_q975,recall_w_mean,recall_w_sd,recall_w_q025,recall_w_q975,specificity_w_mean,specificity_w_sd,specificity_w_q025,specificity_w_q975,f1_w_mean,f1_w_sd,f1_w_q025,f1_w_q975,accuracy_w_mean,accuracy_w_sd,accuracy_w_q025,accuracy_w_q975,precision_raw_mean,precision_raw_sd,precision_raw_q025,precision_raw_q975,recall_raw_mean,recall_raw_sd,recall_raw_q025,recall_raw_q975,n_mean,n_sd,n_q025,n_q975,positive_mean,positive_sd,positive_q025,positive_q975,predicted_positive_mean,predicted_positive_sd,predicted_positive_q025,predicted_positive_q975,coverage_w_mean,coverage_w_sd,coverage_w_q025,coverage_w_q975,retest_rate_w_mean,retest_rate_w_sd,retest_rate_w_q025,retest_rate_w_q975,qc_fail_rate_w_mean,qc_fail_rate_w_sd,qc_fail_rate_w_q025,qc_fail_rate_w_q975,negative_clear_rate_w_mean,negative_clear_rate_w_sd,negative_clear_rate_w_q025,negative_clear_rate_w_q975,positive_call_rate_w_mean,positive_call_rate_w_sd,positive_call_rate_w_q025,positive_call_rate_w_q975,positive_precision_w_mean,positive_precision_w_sd,positive_precision_w_q025,positive_precision_w_q975,positive_recall_all_w_mean,positive_recall_all_w_sd,positive_recall_all_w_q025,positive_recall_all_w_q975,negative_npv_w_mean,negative_npv_w_sd,negative_npv_w_q025,negative_npv_w_q975,false_negative_clear_rate_w_mean,false_negative_clear_rate_w_sd,false_negative_clear_rate_w_q025,false_negative_clear_rate_w_q975,followup_recall_w_mean,followup_recall_w_sd,followup_recall_w_q025,followup_recall_w_q975,followup_precision_w_mean,followup_precision_w_sd,followup_precision_w_q025,followup_precision_w_q975,negative_specific_clear_w_mean,negative_specific_clear_w_sd,negative_specific_clear_w_q025,negative_specific_clear_w_q975,retest_records_mean,retest_records_sd,retest_records_q025,retest_records_q975,negative_records_mean,negative_records_sd,negative_records_q025,negative_records_q975,positive_call_records_mean,positive_call_records_sd,positive_call_records_q025,positive_call_records_q975
T13,group_class_weighted,overall_qcfail_negative,high,20,0.28959542521462023,0.25242410265679244,0.0,0.8303571428571423,0.041756756756756705,0.026733469757778697,0.0,0.081081081081081,0.9946804733727811,0.003276356640237219,0.9905325443786982,1.0,0.07078016965206738,0.044991583671742316,0.0,0.13877305533279868,0.9547052154195012,0.0032248214633396853,0.9500850340136053,0.9595890022675735,0.2991666666666667,0.25560814994007813,0.0,0.8416666666666661,0.04565217391304346,0.0298405539631852,0.0,0.0869565217391304,605.0,0.0,605.0,605.0,23.0,0.0,23.0,23.0,3.9,1.9166857359844662,0.47500000000000003,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T13,group_class_weighted,qc_pass,low,20,0.21276965205609807,0.1541385544078462,0.0,0.5208265139116202,0.05830378632156756,0.029116053649508394,0.0,0.0996677740863787,0.9904336158196404,0.004337872925353679,0.984282588123965,0.9976342559735036,0.08841690242789912,0.04542572864752752,0.0,0.15989977066168343,0.9584328114807568,0.00451472124304183,0.9516124429223743,0.9657591324200915,0.252579365079365,0.17755248602948,0.0,0.5874999999999997,0.0710171568627451,0.03558534242305292,0.0,0.1176470588235294,500.9,2.918182563460382,496.0,505.525,16.9,0.6407232755171874,16.0,18.0,5.6,2.0104987598001385,2.0,8.524999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T13,group_class_weighted,qc_pass,high,20,0.26364310723036277,0.24492715347759558,0.0,0.7978723404255313,0.05148044605298423,0.032581414186958126,0.0,0.0996677740863787,0.9936750518148022,0.0037309511219669957,0.9887557291685928,1.0,0.0826105196070888,0.05235215376848494,0.0,0.16186344611091724,0.9613242009132421,0.004006251020883766,0.9547945205479451,0.9675456621004567,0.2991666666666667,0.25560814994007813,0.0,0.8416666666666661,0.062357026143790836,0.040380491652064435,0.0,0.1176470588235294,500.9,2.918182563460382,496.0,505.525,16.9,0.6407232755171874,16.0,18.0,3.9,1.9166857359844662,0.47500000000000003,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T13,group_class_weighted,overall,three_way,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.832944336464745,0.005334901326445864,0.8242809901738475,0.8412594482237341,0.1670556635352553,0.005334901326445876,0.15874055177626606,0.17571900982615263,0.1641272540762337,0.004750273387755322,0.1562008692365835,0.17179570240794734,0.8260962639023866,0.005593987074954975,0.8166421012849586,0.8336318972033259,0.006848072562358226,0.003438237456965408,0.0008078231292516802,0.011187641723355969,0.28959542521462023,0.25242410265679244,0.0,0.8303571428571423,0.041756756756756705,0.026733469757778697,0.0,0.081081081081081,0.9637349277850291,0.0015021735879763931,0.960394640020818,0.9653693638844353,0.7141891891891892,0.031111989085020313,0.6837837837837836,0.7818918918918918,0.2858108108108108,0.03111198908502028,0.218108108108108,0.3162162162162162,0.06892894587491356,0.007072393770738275,0.05327575229751418,0.07827701377945188,0.830996336996337,0.0054736786879757155,0.8222909270216964,0.8393500986193295,105.8,3.188796176087706,101.0,111.05,495.3,3.2297954962146473,489.95,499.525,3.9,1.9166857359844662,0.47500000000000003,6.0
T18,group_class_weighted,overall_qcfail_negative,low,20,0.21789204044388635,0.2702714337528302,0.0,0.71593992248062,0.03576589595375719,0.046263863745255894,0.0,0.1197615606936415,0.9906416971316088,0.00558581182807569,0.979949381327334,0.99753937007874,0.06018134400814003,0.07644479294396074,0.0,0.19616350852778391,0.9157240038872689,0.006653637551157637,0.9038722870100417,0.9260463232912209,0.14494588744588743,0.19416033713180642,0.0,0.5874999999999997,0.016304347826086953,0.01979272756522447,0.0,0.054891304347826034,605.0,0.0,605.0,605.0,46.0,0.0,46.0,46.0,6.25,3.4008512866169567,2.0,12.574999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T18,group_class_weighted,overall_qcfail_negative,high,20,0.21683327576907363,0.27062692561336676,0.0,0.7474734042553192,0.029263005780346785,0.040567887578572555,0.0,0.1083815028901733,0.9934274817210349,0.004971172376907067,0.9817948537682788,0.998154527559055,0.0504870471732336,0.06872591941206907,0.0,0.17600846776133555,0.9177810171687723,0.0054902021584585575,0.9055729672821506,0.9260463232912209,0.14706349206349206,0.17523847738265452,0.0,0.5,0.013043478260869563,0.01479471842127653,0.0,0.0434782608695652,605.0,0.0,605.0,605.0,46.0,0.0,46.0,46.0,4.35,3.1834274809261465,1.0,11.574999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T18,group_class_weighted,qc_pass,low,20,0.2134357616646641,0.2681556490066393,0.0,0.71593992248062,0.03755497691070353,0.04881853417233235,0.0,0.12686527656210286,0.9897371571508383,0.00625915812523842,0.9773759509982171,0.997525820432358,0.062352680820050264,0.07954015777342963,0.0,0.20296509743745914,0.9172301043705151,0.0077712749845959515,0.9037703848662751,0.9289897260273972,0.14494588744588743,0.19416033713180642,0.0,0.5874999999999997,0.019271255060728732,0.023602901492221905,0.0,0.06644736842105256,500.8,2.8209740758897635,495.375,505.0,39.1,0.8522416262267902,37.475,40.0,6.25,3.4008512866169567,2.0,12.574999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T18,group_class_weighted,qc_pass,high,20,0.2129617837357002,0.26726171212619715,0.0,0.734775641025641,0.030764133294677705,0.04290303765723067,0.0,0.11514597509670493,0.9930352441049566,0.00540959035138391,0.9801097950609874,0.9981465463981218,0.052507606208509985,0.07180691543470114,0.0,0.18394194334175384,0.9197635355512066,0.006399985323257412,0.906296069797782,0.928604452054794,0.14706349206349206,0.17523847738265452,0.0,0.5,0.015423414304993239,0.0176885972906952,0.0,0.0526315789473684,500.8,2.8209740758897635,495.375,505.0,39.1,0.8522416262267902,37.475,40.0,4.35,3.1834274809261465,1.0,11.574999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T18,group_class_weighted,overall,three_way,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8325070186804883,0.005838285485560783,0.8223001025807151,0.8412910322859304,0.1674929813195119,0.005838285485560788,0.15870896771406973,0.17769989741928513,0.16441555987474352,0.004818573759571903,0.1574395313681028,0.17408352229780805,0.8241542490011879,0.008437540070276865,0.8114408541194257,0.8373450491307637,0.008352769679300234,0.005665055630415106,0.0017006802721088,0.019406786524133413,0.21683327576907363,0.27062692561336676,0.0,0.7474734042553192,0.029263005780346796,0.04056788757857257,0.0,0.1083815028901734,0.9218797599610011,0.004731920587948113,0.9164384429143405,0.9311082622787737,0.8208092485549134,0.053518546593188,0.7126083815028902,0.8786127167630057,0.17919075144508667,0.053518546593188006,0.1213872832369942,0.28739161849710976,0.07953151121959362,0.02152230108251229,0.05444990827652215,0.11971517968210361,0.8244390349643794,0.007677513076297379,0.8129136201724785,0.8350496227034122,106.1,3.4777488181444705,100.95,112.05,494.55,4.904079934095691,486.95,501.525,4.35,3.1834274809261465,1.0,11.574999999999996
T21,group_class_weighted,overall_qcfail_negative,low,20,0.016666666666666666,0.07453559924999299,0.0,0.17499999999999952,0.00357142857142857,0.01597191412499849,0.0,0.03749999999999988,0.9924041811846689,0.005398596398267895,0.9809320557491288,0.9991724738675958,0.005882352941176465,0.026306682088232794,0.0,0.061764705882352715,0.968860544217687,0.0053513215776082625,0.9575765306122447,0.9753826530612245,0.016666666666666666,0.07453559924999299,0.0,0.17499999999999952,0.003846153846153845,0.017200522903844533,0.0,0.04038461538461526,605.0,0.0,605.0,605.0,13.0,0.0,13.0,13.0,3.8,2.284962282309918,0.47500000000000003,8.049999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T21,group_class_weighted,overall_qcfail_negative,high,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9948838559814168,0.0039159430539368505,0.9888153310104529,1.0,0.0,0.0,0.0,0.0,0.9711961451247166,0.003822706314557333,0.9652721088435374,0.9761904761904762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,605.0,0.0,605.0,605.0,13.0,0.0,13.0,13.0,2.25,1.6181535936466533,0.0,5.524999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T21,group_class_weighted,qc_pass,low,20,0.015,0.0670820393249937,0.0,0.15749999999999956,0.00405405405405405,0.018130280898646923,0.0,0.04256756756756741,0.9916431498766338,0.005951695648731364,0.9797813411078717,0.99916715371128,0.006382978723404255,0.028545548648933484,0.0,0.0670212765957445,0.9695091324200913,0.00532518614153652,0.9590896118721458,0.976598173515982,0.016666666666666666,0.07453559924999299,0.0,0.17499999999999952,0.005,0.0223606797749979,0.0,0.05249999999999986,501.1,1.9439514830419644,499.0,505.05,10.55,0.5104177855340405,10.0,11.0,3.8,2.284962282309918,0.47500000000000003,8.049999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T21,group_class_weighted,qc_pass,high,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9945147418990488,0.004211297575815886,0.9880320699708455,1.0,0.0,0.0,0.0,0.0,0.9722317351598171,0.0035003011402533167,0.9665953196347031,0.976598173515982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,501.1,1.9439514830419644,499.0,505.05,10.55,0.5104177855340405,10.0,11.0,2.25,1.6181535936466533,0.0,5.524999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
