target,variant,seed,outer_fold,best_c,candidate_objectives,outer_train_records,outer_test_records,outer_train_women,outer_test_women,outer_train_qc_pass,outer_test_qc_pass
T18,unweighted,20360827,2,1.0,"{""0.03"": 0.31376751847195594, ""0.1"": 0.3220026783943602, ""0.3"": 0.3273662757262823, ""1.0"": 0.3289628113879136, ""3.0"": 0.3267219382415866, ""10.0"": 0.3224808754161121}",454,151,111,36,379,132
T18,unweighted,20360827,3,0.03,"{""0.03"": 0.2206723129804791, ""0.1"": 0.21984080949065282, ""0.3"": 0.21763220690906374, ""1.0"": 0.21645025448618477, ""3.0"": 0.21593614617788548, ""10.0"": 0.21532018986557713}",454,151,111,36,381,128
T21,unweighted,20360827,0,10.0,"{""0.03"": 0.2335173396274453, ""0.1"": 0.23978640875361992, ""0.3"": 0.24563785787785059, ""1.0"": 0.2498511686271052, ""3.0"": 0.2513866642338968, ""10.0"": 0.2554130894962226}",455,150,110,37,377,108
T21,unweighted,20360827,1,10.0,"{""0.03"": 0.09245057516085366, ""0.1"": 0.09475900136082646, ""0.3"": 0.09597873052547898, ""1.0"": 0.09813222837780838, ""3.0"": 0.0997876137584625, ""10.0"": 0.10035569770282812}",453,152,110,37,377,128
T21,unweighted,20360827,2,0.03,"{""0.03"": 0.13555430568226245, ""0.1"": 0.134900798423756, ""0.3"": 0.13201366312011428, ""1.0"": 0.13147273184839667, ""3.0"": 0.13027040173590887, ""10.0"": 0.1286042503235728}",452,153,110,37,378,140
T21,unweighted,20360827,3,0.03,"{""0.03"": 0.09846886358437645, ""0.1"": 0.09490383386616186, ""0.3"": 0.09199311774360888, ""1.0"": 0.08968637428488559, ""3.0"": 0.0904949911377042, ""10.0"": 0.0914693950731541}",455,150,111,36,382,124
T13,group_class_weighted,20360827,0,0.1,"{""0.03"": 0.15447511268619696, ""0.1"": 0.1553287274684094, ""0.3"": 0.15525042669126934, ""1.0"": 0.15330733482025624, ""3.0"": 0.1493006297922049, ""10.0"": 0.14457752193041415}",452,153,111,36,374,128
T13,group_class_weighted,20360827,1,3.0,"{""0.03"": 0.3613245728221406, ""0.1"": 0.3773580107695462, ""0.3"": 0.40437385198793785, ""1.0"": 0.4040538840347011, ""3.0"": 0.4057381802698322, ""10.0"": 0.39344966919306745}",449,156,110,37,374,131
T13,group_class_weighted,20360827,2,0.03,"{""0.03"": 0.17278021898575005, ""0.1"": 0.16865430308148396, ""0.3"": 0.16385110083342302, ""1.0"": 0.15996055067127943, ""3.0"": 0.15619438478232855, ""10.0"": 0.15322328682709596}",457,148,111,36,381,122
T13,group_class_weighted,20360827,3,10.0,"{""0.03"": 0.1668818268388088, ""0.1"": 0.16040237200299232, ""0.3"": 0.1605635914684152, ""1.0"": 0.16202125119258584, ""3.0"": 0.16141265030936705, ""10.0"": 0.1678979537062428}",457,148,109,38,383,122
T18,group_class_weighted,20360827,0,1.0,"{""0.03"": 0.233494127586124, ""0.1"": 0.23790630884243497, ""0.3"": 0.24029778578617064, ""1.0"": 0.24272585129270186, ""3.0"": 0.24207457288865686, ""10.0"": 0.24178348773268682}",453,152,110,37,376,115
