target,variant,seed,scope,pr_auc_w,roc_auc_w
ANY,unweighted,21060848,overall,0.16975399322270243,0.5393773389794752
ANY,unweighted,21060848,qc_pass,0.17556328725051784,0.5334044306983968
T13,group_class_weighted,21060848,overall,0.12945536904582,0.42161370161370293
T13,group_class_weighted,21060848,qc_pass,0.10065956253664174,0.42734195235965283
T18,group_class_weighted,21060848,overall,0.17461740942782955,0.5247254023702249
T18,group_class_weighted,21060848,qc_pass,0.17074730778830152,0.49398516409002063
T21,group_class_weighted,21060848,overall,0.11449302556947141,0.42159936370986884
T21,group_class_weighted,21060848,qc_pass,0.020595199833103674,0.3977338679623762
ANY,group_class_weighted,21060848,overall,0.20120529070313262,0.5578158820346324
ANY,group_class_weighted,21060848,qc_pass,0.1949004235952977,0.5306759531333854
T13,unweighted,21160851,overall,0.14884819075983952,0.44176573530419844
T13,unweighted,21160851,qc_pass,0.10507918565450272,0.4523262574837524
T18,unweighted,21160851,overall,0.23234393480511578,0.6698107004823464
T18,unweighted,21160851,qc_pass,0.1992604707202759,0.6429132371010147
T21,unweighted,21160851,overall,0.02339325546615007,0.41275174413551813
T21,unweighted,21160851,qc_pass,0.06596051220388548,0.5055914079220936
ANY,unweighted,21160851,overall,0.1978948790951759,0.5681467202315387
ANY,unweighted,21160851,qc_pass,0.18982817607987656,0.5838558891760416
T13,group_class_weighted,21160851,overall,0.1579231843968384,0.4588254932870331
T13,group_class_weighted,21160851,qc_pass,0.150806937199813,0.46021679826638684
T18,group_class_weighted,21160851,overall,0.26362921583976756,0.6449634010931083
T18,group_class_weighted,21160851,qc_pass,0.24291826967799948,0.620324844564315
T21,group_class_weighted,21160851,overall,0.021065703440571154,0.42321484536517096
T21,group_class_weighted,21160851,qc_pass,0.023602626506885167,0.4568777148070373
ANY,group_class_weighted,21160851,overall,0.1723367016205478,0.5720573273431548
ANY,group_class_weighted,21160851,qc_pass,0.22784845967407397,0.5766684911772816
T13,unweighted,21260854,overall,0.13127012835844054,0.40180743719205403
