mode,rho,tau_type,groups,total_cost,cutpoints,fraction_of_max_reduction
measurement,0.9,individual_q95,5,68.50600306510918,"[29.525661425178548, 30.7981037518733, 32.18924892207405, 33.332582615]",0.990481933011398
measurement,0.9,individual_q95,6,67.51067618370048,"[29.525661425178548, 30.7981037518733, 31.835775192944702, 32.7032818769354, 33.332582615]",1.0
credible,0.8,bootstrap_median,1,217.51305871009822,[],0.0
credible,0.8,bootstrap_median,2,134.17243018150327,[34.3202115368548],0.7038508447651886
credible,0.8,bootstrap_median,3,108.18482403755188,"[33.43796273185215, 36.09730783]",0.9233284136386851
credible,0.8,bootstrap_median,4,101.15910735130309,"[33.128525569527596, 34.411814519222446, 36.09730783]",0.9826638987676507
credible,0.8,bootstrap_median,5,99.10639748573303,"[32.9759465231214, 33.6163850333305, 34.50887419732065, 36.09730783]",0.9999999999999999
credible,0.8,bootstrap_median,6,99.10639748573301,"[29.756464415, 32.9759465231214, 33.6163850333305, 34.50887419732065, 36.09730783]",1.0
credible,0.8,individual_q95,1,285.3047361087799,[],0.0
credible,0.8,individual_q95,2,178.13854583740232,[35.02941549],0.5584394307126468
credible,0.8,individual_q95,3,128.7954013061523,"[31.5045234250675, 35.78833718]",0.8155649053779775
credible,0.8,individual_q95,4,106.03004656791688,"[31.145124715, 33.75308582329245, 36.09730783]",0.9341944069754335
credible,0.8,individual_q95,5,97.02475249290467,"[31.0253201733632, 32.788220758624746, 34.411814519222446, 36.09730783]",0.9811206929982459
credible,0.8,individual_q95,6,93.40175724029542,"[30.84344416, 32.3282979883502, 33.6163850333305, 34.50887419732065, 36.09730783]",1.0
credible,0.9,bootstrap_median,1,220.51759626865382,[],0.0
credible,0.9,bootstrap_median,2,119.47992727756498,[34.10245052764635],0.6189622578592144
credible,0.9,bootstrap_median,3,81.44637291431425,"[31.0253201733632, 35.2208681140727]",0.8519578813544982
credible,0.9,bootstrap_median,4,68.38424832820891,"[30.72266034328655, 32.9759465231214, 35.2208681140727]",0.9319771672998933
credible,0.9,bootstrap_median,5,62.153157877922055,"[29.858344816033252, 31.5045234250675, 33.6163850333305, 35.2208681140727]",0.9701491664418639
credible,0.9,bootstrap_median,6,57.280391240119926,"[29.26591345677795, 30.63776876310955, 32.18924892207405, 33.6163850333305, 35.2208681140727]",1.0
credible,0.9,individual_q95,1,369.23540701866125,[],0.0
credible,0.9,individual_q95,2,249.21974153518656,[32.04871425],0.865104070054339
credible,0.9,individual_q95,3,237.44305620670298,"[30.65373823440025, 32.04871425]",0.9499934748531083
credible,0.9,individual_q95,4,233.34458057403543,"[29.525661425178548, 30.7981037518733, 32.04871425]",0.9795363510814405
credible,0.9,individual_q95,5,231.76617474079112,"[29.26591345677795, 30.521331102512548, 31.373618482277948, 32.04871425]",0.9909139100445676
credible,0.9,individual_q95,6,230.50566381454448,"[29.20491842677795, 29.858344816033252, 30.5711615791423, 31.373618482277948, 32.04871425]",1.0
