target,variant,model,n_features,seeds,roc_auc_w_mean,roc_auc_w_sd,roc_auc_w_q025,roc_auc_w_q975,pr_auc_w_mean,pr_auc_w_sd,pr_auc_w_q025,pr_auc_w_q975,precision_w_mean,precision_w_sd,precision_w_q025,precision_w_q975,recall_w_mean,recall_w_sd,recall_w_q025,recall_w_q975,specificity_w_mean,specificity_w_sd,specificity_w_q025,specificity_w_q975,f1_w_mean,f1_w_sd,f1_w_q025,f1_w_q975,balanced_accuracy_w_mean,balanced_accuracy_w_sd,balanced_accuracy_w_q025,balanced_accuracy_w_q975,mcc_w_mean,mcc_w_sd,mcc_w_q025,mcc_w_q975,accuracy_w_mean,accuracy_w_sd,accuracy_w_q025,accuracy_w_q975,precision_raw_mean,precision_raw_sd,precision_raw_q025,precision_raw_q975,recall_raw_mean,recall_raw_sd,recall_raw_q025,recall_raw_q975,f1_raw_mean,f1_raw_sd,f1_raw_q025,f1_raw_q975,accuracy_raw_mean,accuracy_raw_sd,accuracy_raw_q025,accuracy_raw_q975,predicted_positive_mean,predicted_positive_sd,predicted_positive_q025,predicted_positive_q975,mean_threshold_mean,mean_threshold_sd,mean_threshold_q025,mean_threshold_q975,selection_score
T13,no_maternal,extra_trees,149,10,0.846196544896545,0.02736773560977533,0.8061411596719292,0.8752908878024264,0.21566809118340272,0.041624632081171016,0.15565194491459383,0.28305920346798713,0.2096401595784144,0.040590804239993845,0.15910391184233086,0.2822988546996278,0.4237837837837836,0.14724039455204502,0.26047297297297295,0.6770270270270269,0.9265849535080302,0.03352936557068765,0.8614636517328818,0.9615600169061707,0.2718880708170155,0.04556097616678121,0.2368166023858394,0.3434913528165495,0.6751843686459068,0.06078308556652567,0.609744094263325,0.7828535388727693,0.24980350286273678,0.05647866443068412,0.2015823586666304,0.3485216955046676,0.905492387431163,0.02733998603230844,0.8520602526724977,0.9349967606090056,0.2135506913014574,0.04387679906898271,0.15095283018867925,0.29468750000000005,0.4521739130434782,0.10884048322039762,0.3141304347826087,0.6423913043478261,0.28277293229884004,0.038138952754103346,0.2335656213704994,0.3536266924564797,0.9110743801652893,0.028037527581704465,0.854504132231405,0.9406611570247934,51.6,21.035419864811086,30.45,93.47500000000001,0.18792252265214432,0.0379705295228838,0.12239449892399797,0.2481955723452098,0.2820646358936605
T13,no_qc,extra_trees,87,10,0.6426100903947067,0.04578174874350135,0.5672051940782723,0.7002095074364313,0.07488824136839349,0.014182949512235933,0.054418976135400365,0.09389018430840806,0.06267783046201789,0.021400542516248743,0.03554294231237931,0.09825270414437431,0.30567567567567566,0.15607415842063826,0.06790540540540538,0.5152027027027026,0.8072380952380949,0.07760315894321064,0.6730517047055505,0.9325342349957731,0.10180552523740198,0.03884851223201769,0.042814403345255596,0.16154024467419545,0.5564568854568852,0.052912761418825574,0.49133102396563916,0.6360515409746175,0.05481561096806529,0.052346288035206225,-0.00980572752635572,0.1378527413842748,0.7861974948709645,0.06927844650511371,0.6653074721952275,0.8968752024619373,0.0539421097031353,0.01747406894874265,0.033525641025641026,0.07760756819054937,0.28695652173913044,0.12995079287802838,0.07282608695652174,0.46847826086956523,0.08897506711479375,0.0313754009004344,0.04210242587601078,0.1299498175182482,0.783801652892562,0.06898194843071694,0.6687603305785124,0.8989669421487604,121.0,46.13747572924495,42.375,197.15000000000003,0.16580457527072387,0.03458347083018999,0.1255672859410671,0.23068206524706847,0.09958222131623691
T18,z_only,elastic,9,10,0.5710063749482548,0.018131946852507116,0.5393380498708666,0.5936017524233111,0.09366008928771989,0.00684994733734219,0.0841929456500053,0.1033300937497026,0.09424939569507787,0.011445515635598098,0.0759998955695055,0.11000089763211822,0.5833815028901735,0.10502741978736539,0.41896676300578045,0.708056358381503,0.5170000234345706,0.10002497783926843,0.37088518232096007,0.6789756749156352,0.16145833580483687,0.017479263069170414,0.1304943914102519,0.18483695054039473,0.5501907631623721,0.03287538711626316,0.4935342876554267,0.5938032721636853,0.05498567190269158,0.035881588569255954,-0.006883579354838466,0.10163352836969906,0.5222081848612461,0.08576817663523457,0.3952839866105172,0.6608661321671526,0.08663297909526838,0.00799559049831274,0.07523272811201723,0.09950715015321757,0.558695652173913,0.10250486025946084,0.40108695652173915,0.6739130434782609,0.1493321356695904,0.01286896038220278,0.12983210543309168,0.17080713411732718,0.515702479338843,0.08230232140108316,0.3963223140495868,0.6493801652892562,298.4,57.96780715765145,203.475,379.675,0.48854035677178614,0.03527737590392386,0.44059940535965897,0.531982168448856,0.16645452896631624
T18,core,elastic,29,10,0.8497432356721308,0.00931430016470346,0.8333826549346841,0.8619350740308925,0.5165637239556158,0.034333859074107645,0.45853470090307474,0.5503095515734697,0.47844216155964003,0.09441661233567199,0.3289192316054293,0.600449695009324,0.45606936416184973,0.044858247338013184,0.4031791907514451,0.5246748554913295,0.9541408886389199,0.019589215762115787,0.9193251722440939,0.9765291057367828,0.46078294810805753,0.04845433220391637,0.38336873587602127,0.5373037856449985,0.7051051264003847,0.02107255037923058,0.6854408327210543,0.7399795684916642,0.41871367745557586,0.056360097453167245,0.3270286065623932,0.5014976886586512,0.9150631681243928,0.017130658632669556,0.8833843537414968,0.9335414642047295,0.44267983367983366,0.09714143987884395,0.2988598901098901,0.5705598455598455,0.4021739130434782,0.04611565964260093,0.34782608695652173,0.4733695652173913,0.4145004169637387,0.04825294020742477,0.3447270800211977,0.49529367469879515,0.9123966942148762,0.017405585673753526,0.8819421487603305,0.9318595041322314,44.0,12.055427546683417,28.45,62.975,0.765875834574058,0.03905236025572802,0.7025690609846146,0.8215975779931608,0.50032573745264
T18,engineered,elastic,64,10,0.8304606215566086,0.010473420611579845,0.8178999545498019,0.8492473777663633,0.47478627800970197,0.054294864136284406,0.3896214894728232,0.539756058262302,0.46099733293965484,0.10561276010892554,0.33241734128962824,0.6230739019883644,0.5173410404624278,0.0912937012753922,0.38638005780346824,0.6603323699421967,0.9409694881889761,0.03096826223642902,0.8976624015748026,0.979834258998875,0.471033159047394,0.02944672602461802,0.422413241693787,0.5139146962912987,0.729155264325702,0.03199311106808591,0.6831071584011715,0.7830982891611993,0.43222246423817945,0.034837812890341255,0.37405168415325835,0.4763960211053688,0.907732426303855,0.022132085454602067,0.8757798833819243,0.933349530288306,0.43159072725126196,0.10824408707467503,0.301321092700403,0.603125,0.4630434782608696,0.09053622144426367,0.3309782608695652,0.603804347826087,0.42858646703477693,0.029601512835578353,0.38119078183263033,0.468974175035868,0.9051239669421488,0.023391009212468374,0.8701652892561983,0.932396694214876,54.0,21.699974398346395,25.575,84.97500000000001,0.7319708276583107,0.07029439178630024,0.6299887440416365,0.8225504754965001,0.5111501053422097
T18,longitudinal,elastic,157,10,0.7893869739819375,0.009244631242372528,0.7794484809250725,0.8071807209493279,0.3789967171610472,0.06962187190392205,0.2849078116106038,0.4920366489763133,0.35703177639004946,0.06362429585442184,0.25589363512709185,0.447028177073796,0.43815028901734115,0.08484353341163813,0.28927023121387285,0.542449421965318,0.9284923368953878,0.031753095527195775,0.8633401293588296,0.9557640255905508,0.38613830013468353,0.05176214798939092,0.2990984812388805,0.46878045622041264,0.6833213129563643,0.033870602274880056,0.6202779551738653,0.7255617655192395,0.33377002996352456,0.05400964800515472,0.24470878064382842,0.4214693762078773,0.8900210560414644,0.025278213143913902,0.8380361192095886,0.9129522999676063,0.33360132857465885,0.0612683634988756,0.22958878504672897,0.4155,0.3978260869565217,0.06954256877687,0.2875,0.4902173913043478,0.3559037877759392,0.043868825741555977,0.2992562542258283,0.428073489010989,0.8892561983471075,0.026515062072762458,0.8335537190082645,0.9103719008264463,57.6,20.473288830951308,37.9,99.80000000000001,0.7126643573251483,0.0868816583202113,0.5605901812088778,0.8206308154478072,0.4110974348534405
T18,no_maternal,elastic,149,10,0.7894959117172315,0.010818191973769134,0.7743805600804824,0.8053342363685982,0.4012286072909602,0.06403594606195522,0.3174602685688446,0.49800556352288644,0.42020719463261563,0.073295141138499,0.32319401619858285,0.5430663886084691,0.44653179190751446,0.07135275662213013,0.3047687861271677,0.5206647398843931,0.9447430399325082,0.018963794565983655,0.916840814820022,0.9717335137795275,0.4264007956318664,0.052175334668359996,0.35533587537612443,0.5164704467877962,0.6956374159200112,0.03168642202345341,0.6367760901951923,0.734489826433139,0.3794539510760343,0.054376804822414464,0.31844565188548135,0.47825966798289654,0.9056543569808877,0.01526479813692204,0.881378360868157,0.9277267573696147,0.3926676773127459,0.07696462249798182,0.2877941176470588,0.5163344594594595,0.4021739130434782,0.058197023203655836,0.29728260869565215,0.4733695652173913,0.3913517417613449,0.04795417534234686,0.3373873873873874,0.4760787335388064,0.9042975206611571,0.016203406192598302,0.8773553719008265,0.9261570247933885,48.9,12.151360234786702,30.025,66.2,0.7471394546493295,0.06133755382108589,0.682285579027947,0.8491242446199239,0.45347982269387244
T18,no_qc,elastic,87,10,0.7232571342351178,0.012553605835708631,0.7070663267180797,0.7452523047747875,0.2849155006734646,0.042741764513037614,0.21621590168196378,0.34493772460806965,0.3130796319983822,0.058183544047417615,0.23155553146194152,0.3990081120943953,0.3841040462427746,0.0583738715705251,0.3063583815028902,0.43641618497109835,0.9255261061117357,0.019232996556031483,0.9056471456692908,0.9559608759842517,0.34113052891353834,0.04440056080740606,0.26774012888471893,0.40766141878204015,0.6548150761772551,0.02736331039829572,0.6127083280842602,0.6874517563635016,0.28213069855161216,0.050099079714758694,0.19817932365218582,0.3548971719550387,0.8830471871288198,0.016689689291329274,0.8620975056689343,0.9056434240362814,0.2734645509970239,0.04260612254618751,0.2201176051318603,0.3455317982456141,0.33043478260869563,0.04784804063541789,0.2440217391304348,0.3695652173913043,0.2953876275417495,0.02942298363350631,0.26105241771637544,0.3498646034816248,0.8800000000000001,0.015781060924503466,0.8609917355371901,0.9021074380165289,57.0,12.409673645990857,35.675,69.0,0.7364698701254804,0.03345659672339013,0.6979384362074883,0.7932623716681545,0.35852193877903327
T21,z_only,lda,9,10,0.33367803877261526,0.023494860650901707,0.3021704709758495,0.3637618086336371,0.018159634500398453,0.0010763009566430665,0.01700391833198564,0.02011664953887341,0.021679213895366947,0.002378140091045529,0.01728029071146602,0.02450289500959467,0.7119047619047618,0.1655099695263027,0.4869047619047618,0.9625,0.22166196559924822,0.1306184414085387,0.021402439024390367,0.39570087384547337,0.04204557706836446,0.00469349676421349,0.03342386858404946,0.04747870828873495,0.4667833637520051,0.035786070788720245,0.402316036170566,0.5110002903600468,-0.024945737277564477,0.02507467422997679,-0.0670884760891262,0.0076241720689072,0.2333344131303315,0.12393449301066656,0.04380952380952381,0.3988786308174064,0.019627271815887068,0.0023222938362823685,0.01518876111954871,0.02220563400964292,0.7153846153846153,0.17027648939368195,0.47884615384615387,0.9653846153846154,0.038180395767035955,0.004582517636319714,0.029474797645327445,0.04316516816516817,0.2315702479338843,0.12443364856904553,0.042314049586776856,0.3981404958677686,470.5,79.27203514200677,365.125,591.5,0.012470000621368146,0.005475143698086784,0.004941263903197691,0.022148699336169867,0.04268816632735093
T21,core,lda,29,10,0.49731432100521394,0.05489415069685059,0.379768488889945,0.5336857026976508,0.1787732451496607,0.05645557790217659,0.05738248027291616,0.20592806544951986,0.03393583073558499,0.013885396996022387,0.023149824138308156,0.06288556229135311,0.4738095238095238,0.26547589389501075,0.16666666666666666,0.8910714285714286,0.5997140644875835,0.29279560846865715,0.08752129307007378,0.9365003318400528,0.05931888965012162,0.016633864306434827,0.043918618287028297,0.0911832919477153,0.5367617941485536,0.038267313401246894,0.4869512886455396,0.5873659504452186,0.027599755118813536,0.031517282952098304,-0.01945477895507526,0.06984771839241706,0.5967163373285824,0.27971586407242005,0.10665343915343917,0.9181709588597344,0.030073173340546655,0.01264592530596507,0.020275333985011405,0.05619612068965518,0.46923076923076934,0.2700232536800158,0.15384615384615385,0.8884615384615385,0.05301126446508464,0.015553145093379177,0.03657687651331719,0.08259447264523408,0.5963636363636364,0.2807061693741854,0.10834710743801652,0.9225619834710744,243.4,176.58690023139692,37.85,549.5500000000001,0.32647212458668723,0.2056201567719051,0.0009110880587746698,0.5164822449793302,0.07303774808847899
