target,candidate_id,track,feature_set,model,n_features,roc_auc_w,pr_auc_w,precision_w,recall_w,specificity_w,npv_w,f1_w,balanced_accuracy_w,mcc_w,accuracy_w,brier_w,logloss_w,precision_raw,recall_raw,f1_raw,accuracy_raw,predicted_positive,n,positive,seed,mean_threshold,sd_threshold
T13,record|longitudinal|extra_trees,record,longitudinal,extra_trees,157,0.7983286955594654,0.1698779459150959,0.19326414724887403,0.381081081081081,0.9303465765004223,0.971694948175092,0.25646355723008957,0.6557138287907517,0.2266557404626011,0.9073048266925818,0.0596455780310288,0.2245850875699663,0.20408163265306123,0.43478260869565216,0.2777777777777778,0.9140495867768595,49,605,23,20360827,0.3366169668375158,0.05835855294122344
T13,record|longitudinal|extra_trees,record,longitudinal,extra_trees,157,0.8500059400059402,0.2045627887670162,0.237904838064774,0.4594594594594593,0.9355536770921383,0.975325178892453,0.31348788198103256,0.6975065682757988,0.29022173902935666,0.9155814706835116,0.045943965332942885,0.17770759291918303,0.25,0.5217391304347826,0.3380281690140845,0.9223140495867769,48,605,23,20460830,0.32511940007731055,0.123749248080134
T13,record|engineered|lightgbm,record,engineered,lightgbm,64,0.7814905302597612,0.17269312848493523,0.17312595614482412,0.5243243243243243,0.890346576500422,0.9771411607540448,0.26030285604753695,0.7073354504123732,0.24962251646995262,0.8749919015225139,0.05373288159498941,0.1987732807565986,0.14492753623188406,0.43478260869565216,0.21739130434782608,0.8809917355371901,69,605,23,20260824,0.22700648168816456,0.1011902822785136
T13,record|engineered|lightgbm,record,engineered,lightgbm,64,0.7654431472893017,0.15149985761155849,0.13860652265989,0.5054054054054052,0.8624683009298388,0.9755048187241853,0.21755027422303488,0.6839368531676222,0.20488670549805396,0.847489471979268,0.06318017572064735,0.22197826503527465,0.11363636363636363,0.43478260869565216,0.18018018018018017,0.8495867768595041,88,605,23,20360827,0.35117591716277713,0.19278538028614486
T13,record|engineered|lightgbm,record,engineered,lightgbm,64,0.8131777661008434,0.21795027089966723,0.11159621618045931,0.6513513513513511,0.7729501267962802,0.9806318769705938,0.19054611170723476,0.7121507390738158,0.19781940311993984,0.7678490443796568,0.0491383475055579,0.18203006727251542,0.09859154929577464,0.6086956521739131,0.1696969696969697,0.7735537190082644,142,605,23,20460830,0.18955665384163506,0.14300106784886063
T13,record|longitudinal|elastic,record,longitudinal,elastic,157,0.7405118152810463,0.17593721999372997,0.1835106382978723,0.18648648648648644,0.9636686390532543,0.9643533870203693,0.1849865951742627,0.5750775627698703,0.14900517200577953,0.9310657596371883,0.07260975092224722,0.2948418250898281,0.21739130434782608,0.21739130434782608,0.21739130434782608,0.9404958677685951,23,605,23,20260824,0.685995464850019,0.1299509654397333
T13,record|longitudinal|elastic,record,longitudinal,elastic,157,0.7012038564346265,0.156380715751304,0.19294117647058817,0.22162162162162155,0.9594082840236684,0.9656938653960688,0.20628930817610056,0.590514952822645,0.16946293595107295,0.9284580498866215,0.0847202509582894,0.32382211373950853,0.21428571428571427,0.2608695652173913,0.23529411764705882,0.9355371900826446,28,605,23,20360827,0.6892487124088021,0.16386196809337922
T13,record|longitudinal|elastic,record,longitudinal,elastic,157,0.7146415358723053,0.16898563692378937,0.10213575808839072,0.18648648648648644,0.9282163989856294,0.9630422199224709,0.13198524388577668,0.5573514427360579,0.08646445597518171,0.8971007450599289,0.0827410262905948,0.34036566920631883,0.11627906976744186,0.21739130434782608,0.15151515151515152,0.9074380165289256,43,605,23,20460830,0.536510052282698,0.21157961980153897
T18,record|engineered|elastic,record,engineered,elastic,64,0.8046165274544802,0.376010312260558,0.327460510328068,0.44508670520231214,0.9221737907761526,0.951265501486692,0.37731886594329717,0.6836302479892323,0.31994539118604,0.884742468415938,0.1430569910172222,0.4696629655703406,0.35,0.45652173913043476,0.39622641509433965,0.8942148760330578,60,605,46,20260824,0.7511204246336632,0.11354814357843054
T18,record|engineered|elastic,record,engineered,elastic,64,0.8145990534600809,0.514407881473678,0.5059701492537313,0.4898843930635839,0.9592765748031493,0.956687116564417,0.49779735682819387,0.7245804839333665,0.45585917266789255,0.9224489795918369,0.12059500231442197,0.39261807720466096,0.47619047619047616,0.43478260869565216,0.45454545454545453,0.9206611570247933,42,605,46,20360827,0.7645091931613991,0.06822979020364721
T18,record|engineered|elastic,record,engineered,elastic,64,0.7691033404964558,0.3863287724829167,0.4137931034482758,0.3988439306358382,0.9518946850393698,0.948975837115172,0.4061810154525386,0.675369307837604,0.3567030642189454,0.9085034013605444,0.13493563620359592,0.42609832899182976,0.4222222222222222,0.41304347826086957,0.4175824175824176,0.912396694214876,45,605,46,20460830,0.7386980609835615,0.10175039789466625
T18,record|longitudinal|lightgbm,record,longitudinal,lightgbm,157,0.7370215232985693,0.3165995280258308,0.3091334894613583,0.38150289017341044,0.9274114173228343,0.9462716545317597,0.34152652005174644,0.6544571537481223,0.28088841768149186,0.8845804988662133,0.07240036918236772,0.27198055467748794,0.32142857142857145,0.391304347826087,0.35294117647058826,0.8909090909090909,56,605,46,20260824,0.40094683666591596,0.1090287294424656
T18,record|longitudinal|lightgbm,record,longitudinal,lightgbm,157,0.7366323130083818,0.3513333041052567,0.28170377541142316,0.4205202312138729,0.9087106299212593,0.9485039167843838,0.33739130434782616,0.664615430567566,0.27530251858919874,0.8704081632653063,0.07360861811537225,0.2765640430999782,0.29411764705882354,0.43478260869565216,0.3508771929824561,0.8776859504132232,68,605,46,20360827,0.35493018272855276,0.12348379887581844
T18,record|longitudinal|lightgbm,record,longitudinal,lightgbm,157,0.7649439751208849,0.3259755091712884,0.3346774193548387,0.3598265895953757,0.9390994094488184,0.945146111936602,0.3467966573816156,0.6494629995220971,0.2892170960496082,0.8936507936507938,0.08917987660037344,0.3072237225685287,0.3333333333333333,0.3695652173913043,0.35051546391752575,0.8958677685950414,51,605,46,20460830,0.5004841301158107,0.10426666687260938
T18,record|longitudinal|elastic,record,longitudinal,elastic,157,0.7737200271163724,0.33768160231216804,0.36823104693140796,0.29479768786127175,0.9569389763779526,0.940962980885555,0.32744783306581066,0.6258683321196121,0.278990095102555,0.9049886621315194,0.12440851617208318,0.42718801796577854,0.3888888888888889,0.30434782608695654,0.34146341463414637,0.9107438016528926,36,605,46,20260824,0.807975067820014,0.14221112102679737
T18,record|longitudinal|elastic,record,longitudinal,elastic,157,0.8163978514833408,0.3686662478734243,0.3106646058732615,0.5809248554913296,0.8902559055118103,0.9614669146957212,0.40483383685800634,0.73559038050157,0.35808258398675835,0.8659863945578233,0.13693836234484213,0.5043674711696451,0.2976190476190476,0.5434782608695652,0.38461538461538464,0.8677685950413223,84,605,46,20360827,0.6227825900934907,0.17713358719285494
T18,record|longitudinal|elastic,record,longitudinal,elastic,157,0.7414254023431324,0.3205599871678594,0.2978334638475596,0.4710982658959538,0.9054415073115855,0.9526239875735047,0.3649448264832882,0.6882698866037696,0.3070947605483137,0.8713637836086818,0.13094820126435147,0.47215493131067543,0.29333333333333333,0.4782608695652174,0.36363636363636365,0.8727272727272727,75,605,46,20460830,0.5799899840747622,0.10022116210031265
T21,record|engineered|elastic,record,engineered,elastic,64,0.38735175835723584,0.09028927084566456,0.023786151174205263,0.14285714285714282,0.8569990597865155,0.9761865762848538,0.04078197824961163,0.49992810132182913,-6.262363202636194e-05,0.8399956808120075,0.12846894702666167,0.4450060296012394,0.023255813953488372,0.15384615384615385,0.04040404040404041,0.8429752066115702,86,605,13,20260824,0.6805059364362862,0.32779539644618905
T21,record|engineered|elastic,record,engineered,elastic,64,0.49971319538268405,0.08635909327035829,0.022426553038798022,0.4761904761904761,0.4937282229965159,0.9747764274249026,0.042835724994645684,0.48495934959349607,-0.00917267605725273,0.4933106575963719,0.15197109151369556,0.472417508068799,0.0196078431372549,0.46153846153846156,0.03761755485893417,0.4925619834710744,306,605,13,20360827,0.3795223686392266,0.3077801201703505
T21,record|engineered|elastic,record,engineered,elastic,64,0.43949963260565766,0.1578783027082788,0.03598848368522077,0.23809523809523803,0.8444444444444439,0.9784676116992642,0.06252605252188417,0.541269841269841,0.03454274922178028,0.8300075585789872,0.1440997044046922,0.46848088695992973,0.030927835051546393,0.23076923076923078,0.05454545454545454,0.828099173553719,97,605,13,20460830,0.7724494057294512,0.2192499659164013
T21,record|engineered|lightgbm,record,engineered,lightgbm,64,0.48704230433946966,0.024842878348277118,0.05338078291814945,0.07142857142857141,0.9691056910569104,0.9771636022953507,0.0610997963340122,0.5202671312427409,0.03518656174879256,0.947732426303855,0.045381045309837824,0.19183852218720018,0.05,0.07692307692307693,0.06060606060606061,0.9487603305785124,20,605,13,20260824,0.44065237554674486,0.14130742748782082
T21,record|engineered|lightgbm,record,engineered,lightgbm,64,0.40455029088677913,0.019976033507784492,0.0,0.0,0.8243072838891649,0.9712615589138041,0.0,0.4121536419445824,-0.0710572640285639,0.8046809199870425,0.03615716620632777,0.1712698122980344,0.0,0.0,0.0,0.8016528925619835,107,605,13,20360827,0.13999599304668384,0.08835915835250947
T21,record|engineered|lightgbm,record,engineered,lightgbm,64,0.43996249680670046,0.02204314888487211,0.0,0.0,0.8989547038327519,0.9735849056603771,0.0,0.44947735191637594,-0.05166353676272139,0.8775510204081634,0.034598750488615417,0.16201172732000574,0.0,0.0,0.0,0.8826446280991735,58,605,13,20460830,0.3271069860056435,0.264250848569917
T21,record|engineered|lda,record,engineered,lda,64,0.47535337015177925,0.1865900442506713,0.02314814814814823,0.47619047619047605,0.5098722415795588,0.9755555555555555,0.04415011037527608,0.4930313588850175,-0.004250511420423055,0.5090702947845805,0.027291685700356186,0.25847436761942677,0.019867549668874173,0.46153846153846156,0.0380952380952381,0.4991735537190083,302,605,13,20260824,0.5008264462644628,0.5004130425198438
T21,record|engineered|lda,record,engineered,lda,64,0.4835633827669682,0.19135796856276607,0.022839741149600388,0.4761904761904761,0.5030971738288814,0.975234521575985,0.043588812204867565,0.48964382500967885,-0.006315579498228957,0.5024565381708239,0.033668919531844116,0.3420301042875249,0.020066889632107024,0.46153846153846156,0.038461538461538464,0.5041322314049587,299,605,13,20360827,0.5026305945683386,0.49891057327072214
T21,record|engineered|lda,record,engineered,lda,64,0.4121753695671088,0.19041365439814753,0.02320713505642527,0.40476190476190466,0.5844754161827331,0.9757626680455015,0.04389740058529881,0.49461866047231895,-0.0033298165982223412,0.580196523053666,0.03427614934839517,0.29939258460247936,0.020161290322580645,0.38461538461538464,0.038314176245210725,0.5851239669421487,248,605,13,20460830,0.5008635035274738,0.5003758959933852
