target,track,feature_set,model,n_features,roc_auc_w,pr_auc_w,precision_w,recall_w,specificity_w,npv_w,f1_w,balanced_accuracy_w,mcc_w,accuracy_w,brier_w,logloss_w,precision_raw,recall_raw,f1_raw,accuracy_raw,predicted_positive,n,positive,seed,mean_threshold,sd_threshold,mean_inner_f1
ANY,record,longitudinal,histgb,157,0.712936835694153,0.33855771177725674,0.2177830003916968,0.5494071146245063,0.7442366803278683,0.9272379128769743,0.3119214586255268,0.6468218974761871,0.2063601010846613,0.7218820861678006,0.10269232355201285,0.3666822871747501,0.2254335260115607,0.582089552238806,0.325,0.7322314049586777,173,605,67,20260824,0.183257077086923,0.14578983744580326,0.34615901647584424
ANY,record,longitudinal,histgb,157,0.7004925271739131,0.3002031371541174,0.24025469793446247,0.4367588932806327,0.8209894613583132,0.9183414514346523,0.30998897906021494,0.6288741773194728,0.2021828295181412,0.7769031422092648,0.11085754466228225,0.3885741772662636,0.2421875,0.4626865671641791,0.31794871794871793,0.7801652892561983,128,605,67,20261821,0.19554457399228542,0.0471841386347161,0.37509638142551394
ANY,record,longitudinal,lightgbm,157,0.7058450971731112,0.3095081904271386,0.21059013742926505,0.514822134387352,0.7498719262295077,0.9226284273558143,0.2989099254159503,0.6323470303084298,0.18778222190216196,0.7229024943310659,0.11242236934031055,0.377213189599514,0.22560975609756098,0.5522388059701493,0.3203463203463203,0.740495867768595,164,605,67,20260824,0.32001385370063984,0.15525863986392793,0.34344851846849156
ANY,record,longitudinal,lightgbm,157,0.7014648982892259,0.29617398650873744,0.23700937716335635,0.531620553359684,0.778182328259172,0.9276341138923014,0.32785362951785446,0.6549014408094278,0.2258473554612299,0.7498920203001838,0.1148552525734791,0.3800864152243598,0.21794871794871795,0.5074626865671642,0.30493273542600896,0.743801652892562,156,605,67,20261821,0.2921741926998313,0.07647056507501473,0.37208568728706476
ANY,record,longitudinal,xgboost,157,0.7296624613729703,0.31695539659895,0.24109208699676152,0.5148221343873521,0.7899590163934419,0.9262652049857332,0.32839583989914983,0.6523905753903969,0.22584806406516295,0.7583900226757371,0.11113606115675023,0.3715227857391682,0.2534246575342466,0.5522388059701493,0.3474178403755869,0.7702479338842976,146,605,67,20260824,0.3246944999891864,0.1238307284814048,0.32946521973548
ANY,record,longitudinal,xgboost,157,0.7123581534177691,0.2923857897838751,0.24104482782512365,0.4911067193675892,0.7995828454332548,0.9237956327816176,0.3233722173165411,0.6453447824004219,0.2189004379971501,0.7641885325558796,0.1137223139000707,0.3774722440058478,0.24647887323943662,0.5223880597014925,0.3349282296650718,0.7702479338842976,142,605,67,20261821,0.3476084346121008,0.09098012093686003,0.3657790175790142
ANY,record,longitudinal,rbf_svm,157,0.6874374154852931,0.22735367727814035,0.1890822287832158,0.42490118577075126,0.7638136709601868,0.9110888020776495,0.26170499500065286,0.5943574283654689,0.13749095147499138,0.724927113702624,0.15393488816951767,0.4877476430739155,0.19607843137254902,0.44776119402985076,0.2727272727272727,0.7355371900826446,153,605,67,20260824,0.43054097946929715,0.05642485382521964,0.31714083376556607
ANY,record,longitudinal,rbf_svm,157,0.6874639558996185,0.2271375704781049,0.1681558517650511,0.48616600790513864,0.6882867388758782,0.9117768244504226,0.24988209686196333,0.5872263733905083,0.11808672627923525,0.6650955620343376,0.1538906396794336,0.4873049380991832,0.16831683168316833,0.5074626865671642,0.2527881040892193,0.6677685950413224,202,605,67,20261821,0.40072028037954244,0.06307968406763768,0.3170750363429428
ANY,record,z_only,elastic,9,0.5139268534128327,0.1290474278947772,0.11577637690776389,0.9851778656126481,0.02479142271662779,0.928082191780822,0.20720266017457414,0.5049846441646381,0.020910253871387483,0.1349854227405248,0.24448558498283382,0.6823542460816755,0.11186440677966102,0.9850746268656716,0.2009132420091324,0.1322314049586777,590,605,67,20260824,0.25490194840347646,0.12454447119448023,0.20861606805992572
ANY,record,z_only,elastic,9,0.46573142561510184,0.1141758546578351,0.11274627294952375,0.7747035573122533,0.20982752732240495,0.8778353277370957,0.19684479223333584,0.49226554231732894,-0.012070311589005652,0.27464096749811034,0.25217429017197196,0.6996005226174242,0.10714285714285714,0.7611940298507462,0.1878453038674033,0.27107438016528923,476,605,67,20261821,0.3940681901099107,0.09183265554864178,0.218470402730935
ANY,woman,woman_compact,elastic,187,0.6074580759046778,0.4420763835633131,0.3064516129032258,0.8636363636363636,0.1650485436893204,0.7391304347826086,0.4523809523809524,0.514342453662842,0.03615960195553973,0.3741496598639456,0.245201151180834,0.7322611355987046,0.3064516129032258,0.8636363636363636,0.4523809523809524,0.3741496598639456,124,147,44,20260824,0.12664350391706442,0.1261290090673654,0.4768909274538968
ANY,woman,woman_compact,elastic,187,0.49691085613415714,0.3673272722389683,0.27184466019417475,0.6363636363636364,0.27184466019417475,0.6363636363636364,0.38095238095238093,0.45410414827890555,-0.09179170344218888,0.38095238095238093,0.2723766226469584,0.7871126837904118,0.27184466019417475,0.6363636363636364,0.38095238095238093,0.38095238095238093,103,147,44,20261821,0.21372331105496084,0.21447699075943114,0.4824763135758881
ANY,woman,woman_compact,lda,187,0.5873786407766989,0.4397160826947725,0.2956521739130435,0.7727272727272727,0.21359223300970873,0.6875,0.4276729559748428,0.49315975286849073,-0.015181784747747635,0.38095238095238093,0.2767442706598549,1.1821999727620291,0.2956521739130435,0.7727272727272727,0.4276729559748428,0.38095238095238093,115,147,44,20260824,0.01984667817369286,0.019697736923155407,0.48580369501536497
ANY,woman,woman_compact,lda,187,0.5648720211827009,0.4124575984407983,0.3148148148148148,0.7727272727272727,0.2815533980582524,0.7435897435897436,0.4473684210526316,0.5271403353927626,0.056304871966214524,0.42857142857142855,0.27181884631854786,1.2468044808184617,0.3148148148148148,0.7727272727272727,0.4473684210526316,0.42857142857142855,108,147,44,20261821,0.1156124790608744,0.200387658934059,0.4826846116815968
ANY,woman,woman_compact,extra_trees,187,0.5364077669902912,0.3697314866635185,0.29850746268656714,0.9090909090909091,0.08737864077669903,0.6923076923076923,0.449438202247191,0.498234774933804,-0.005694439152938202,0.3333333333333333,0.22138659861607027,0.6392834437650233,0.29850746268656714,0.9090909090909091,0.449438202247191,0.3333333333333333,134,147,44,20260824,0.18034197253612166,0.030816799613962984,0.48557119425852213
ANY,woman,woman_compact,extra_trees,187,0.5514121800529568,0.3462703671570218,0.2894736842105263,0.75,0.21359223300970873,0.6666666666666666,0.4177215189873418,0.4817961165048544,-0.03996037894639002,0.3741496598639456,0.21928680195888592,0.6348305211005894,0.2894736842105263,0.75,0.4177215189873418,0.3741496598639456,114,147,44,20261821,0.19382524214818403,0.09829845440033715,0.48802188426797405
ANY,woman,woman_compact,lightgbm,187,0.6001765225066197,0.42693613993094925,0.3046875,0.8863636363636364,0.13592233009708737,0.7368421052631579,0.45348837209302323,0.5111429832303619,0.0304224816545566,0.36054421768707484,0.2226671958456148,0.6411582201083658,0.3046875,0.8863636363636364,0.45348837209302323,0.36054421768707484,128,147,44,20260824,0.13969391155548477,0.06320699414462788,0.4752495146739751
ANY,woman,woman_compact,lightgbm,187,0.51522506619594,0.31016435438065004,0.2871287128712871,0.6590909090909091,0.30097087378640774,0.6739130434782609,0.4,0.4800308914386584,-0.039445187204906806,0.40816326530612246,0.25120389985339103,0.7244068265853947,0.2871287128712871,0.6590909090909091,0.4,0.40816326530612246,101,147,44,20261821,0.1788942671368551,0.037103452593415534,0.5081055995137792
