target,variant,model,n_features,roc_auc_w,pr_auc_w,precision_w,recall_w,specificity_w,npv_w,f1_w,balanced_accuracy_w,mcc_w,accuracy_w,brier_w,logloss_w,precision_raw,recall_raw,f1_raw,accuracy_raw,predicted_positive,n,positive,seed,mean_threshold,sd_threshold,mean_inner_f1
ANY,engineered,elastic,64,0.7796493128997697,0.4617121210392802,0.3819665183301553,0.5088932806324113,0.8932779566744725,0.9334824672096667,0.4363878465076873,0.7010856186534418,0.3561804441877057,0.8491739552964044,0.1593419604931884,0.5208503181002482,0.35555555555555557,0.47761194029850745,0.40764331210191085,0.8462809917355372,90,605,67,20260824,0.630376181261802,0.09711747069784091,0.40029714196945443
ANY,engineered,elastic,64,0.755274563840472,0.43696437876946254,0.3975624619134679,0.4604743083003955,0.909561621779859,0.9286074530680858,0.42671201517430873,0.6850179650401271,0.34741126615928347,0.858033689666343,0.15775875630922476,0.5035669313875973,0.37333333333333335,0.417910447761194,0.39436619718309857,0.8578512396694215,75,605,67,20273171,0.6921569176454663,0.05358387646481636,0.43754037124120226
ANY,engineered,elastic,64,0.7233377492629431,0.34011997352053847,0.33575453976205427,0.3784584980237157,0.9029566744730675,0.918091340340433,0.35582984935961276,0.6407075862483914,0.2672752927912327,0.8427761580822807,0.16009763789963663,0.5508771418149113,0.33766233766233766,0.3880597014925373,0.3611111111111111,0.8479338842975207,77,605,67,20285518,0.664314576872521,0.08593260628402208,0.4114857020793982
ANY,engineered,elastic,64,0.7374633183029254,0.3801162762668901,0.41606730899715066,0.4328063241106722,0.9212712236533954,0.9261003108274628,0.4242717774856435,0.6770387738820337,0.34807164744024655,0.8652251376741174,0.16326057449739456,0.5508715517310795,0.4166666666666667,0.44776119402985076,0.4316546762589928,0.8694214876033057,72,605,67,20297865,0.7139336571950067,0.06050925968038361,0.4324945178548357
ANY,engineered,elastic,64,0.6979102906997374,0.34112107658233826,0.32874493927125525,0.3438735177865614,0.9089944379391096,0.9144487391864528,0.3361390920380849,0.6264339778628354,0.24798364526114824,0.8441528992549402,0.1653568198676688,0.556474609166973,0.3380281690140845,0.3582089552238806,0.34782608695652173,0.8512396694214877,71,605,67,20310212,0.7033660498861405,0.03495957784911086,0.43698949003222887
ANY,engineered,elastic,64,0.7625674406150398,0.3845786533633859,0.46487274655355293,0.4950592885375496,0.9261380269320839,0.9339988191010403,0.47949138638228084,0.7105986577348167,0.4098824620191556,0.8766763848396502,0.15588077651186388,0.5026045555453847,0.43661971830985913,0.4626865671641791,0.4492753623188406,0.8743801652892562,71,605,67,20322559,0.6873695163294291,0.04096592472756613,0.4311984725592789
ANY,engineered,elastic,64,0.7316829980611276,0.41393380791253565,0.43017221042698817,0.5148221343873521,0.9116108021077279,0.9354699410461489,0.46870582187379567,0.7132164682475399,0.3948694168444405,0.866083576287658,0.16428994270750633,0.5375781783606243,0.4050632911392405,0.47761194029850745,0.4383561643835616,0.8644628099173554,79,605,67,20334906,0.6787141076131883,0.07782158690971978,0.43949451912331966
ANY,engineered,elastic,64,0.7585251016876331,0.414054337799523,0.36882939722056507,0.6106719367588936,0.8645528395784537,0.9448521325308429,0.4598947536278112,0.7376123881686735,0.38609485209889743,0.8354227405247814,0.15637131391615022,0.5161513412066403,0.35454545454545455,0.582089552238806,0.4406779661016949,0.8363636363636363,110,605,67,20347253,0.5999721395229349,0.08709771517263043,0.4165506816383658
ANY,engineered,elastic,64,0.745172187747807,0.3638041095302092,0.35136374054549663,0.4328063241106721,0.8964432084309127,0.9242086995887874,0.3878557874762812,0.6646247662707924,0.30121769054216674,0.8432458697764821,0.16096259602403942,0.5338343859924295,0.3375,0.40298507462686567,0.3673469387755102,0.8462809917355372,80,605,67,20359600,0.6584541118317935,0.08268405144582003,0.40206248179074944
ANY,engineered,elastic,64,0.7383675304522932,0.33352793650468154,0.2598118477142446,0.4990118577075102,0.8157384367681492,0.9262683342335976,0.34171097148380947,0.6573751472378295,0.24200990075649254,0.7793974732750244,0.17471122492092317,0.5713141734129279,0.26119402985074625,0.5223880597014925,0.3482587064676617,0.7834710743801653,134,605,67,20371947,0.5705435735930736,0.15073311029602388,0.4170142113551108
ANY,longitudinal,elastic,157,0.7204454467448389,0.34500274697586947,0.2915544440169301,0.42786561264822154,0.8652480971896949,0.9210618572764097,0.34679633867276927,0.6465568549189581,0.24964124828262377,0.8150631681243928,0.16047613693890247,0.5840612466626576,0.2727272727272727,0.40298507462686567,0.3253012048192771,0.8148760330578513,99,605,67,20260824,0.6215346398153934,0.1361193677171601,0.3522456593603265
ANY,longitudinal,elastic,157,0.7080335483854171,0.34829485639981067,0.29219257122250325,0.4575098814229251,0.8563561182669782,0.9241233612383506,0.3566241197183103,0.6569329998449516,0.2605651864518347,0.8105928085519922,0.15752388493921668,0.5470853476610018,0.27358490566037735,0.43283582089552236,0.3352601156069364,0.8099173553719008,106,605,67,20273171,0.6061094822290063,0.04477968068869175,0.4124013863691508
ANY,longitudinal,elastic,157,0.7155168785464359,0.2930327922894082,0.24723676556137342,0.41996047430830064,0.8342725409836059,0.9173355865371071,0.311241303551813,0.6271165076459532,0.2045476113467912,0.7867346938775511,0.1529224488408264,0.5850091504003472,0.25,0.43283582089552236,0.31693989071038253,0.7933884297520661,116,605,67,20285518,0.5492287777161401,0.1508700956498138,0.3526202819776325
ANY,longitudinal,elastic,157,0.7105417862793241,0.28473807993521494,0.22746284022907223,0.4990118577075102,0.7803351873536294,0.9231801554146191,0.31248618784530463,0.6396735225305696,0.20513818682103824,0.7480563654033042,0.17123308843016274,0.6551964914554422,0.22727272727272727,0.5223880597014925,0.3167420814479638,0.7504132231404959,154,605,67,20297865,0.544235132378674,0.17516814267213338,0.38257755418882416
ANY,longitudinal,elastic,157,0.6802899264254398,0.2794122937364328,0.32443125618199814,0.324110671936759,0.912525614754098,0.9124087591240871,0.32427088482451816,0.6183181433454285,0.23673812908325045,0.8450113378684809,0.1583423867527251,0.6296484028134649,0.3382352941176471,0.34328358208955223,0.34074074074074073,0.8528925619834711,68,605,67,20310212,0.6967535816132423,0.1240999591971753,0.3538600165403832
ANY,longitudinal,elastic,157,0.6997863255589447,0.29644763316151973,0.28259551243177733,0.4604743083003955,0.8484887295081962,0.9238599916329657,0.35024426907177797,0.6544815189042957,0.2525611207374308,0.8039682539682541,0.16325458515742203,0.5731088417447796,0.26126126126126126,0.43283582089552236,0.3258426966292135,0.8016528925619835,111,605,67,20322559,0.5913216668129471,0.09296988608617032,0.3831320214733729
ANY,longitudinal,elastic,157,0.7023770834104717,0.319701707772841,0.2655845449113728,0.3764822134387354,0.865065134660421,0.9145614917404924,0.3114562653275726,0.6207736740495782,0.20859961031562657,0.8090055069646908,0.16744815845301864,0.6051052093460568,0.26804123711340205,0.3880597014925373,0.3170731707317073,0.8148760330578513,97,605,67,20334906,0.6374321010144258,0.05615165276555066,0.40573200556840777
ANY,longitudinal,elastic,157,0.706614504025465,0.2986549495320161,0.23566833452466107,0.46541501976284616,0.8043581674473061,0.9206910994764393,0.3128974091297339,0.634886593605076,0.20538155433449284,0.7654680919987044,0.15318390211091767,0.5844270243642304,0.23703703703703705,0.47761194029850745,0.31683168316831684,0.771900826446281,135,605,67,20347253,0.5144610614914233,0.13870021619952827,0.3528989143749216
ANY,longitudinal,elastic,157,0.69551406010389,0.32178762897721563,0.22749636199847612,0.4634387351778658,0.7960333723653391,0.9196558794309747,0.30518243086218977,0.6297360537716024,0.1954018992062414,0.7578717201166182,0.16538664123462493,0.5831733287280012,0.23404255319148937,0.4925373134328358,0.3173076923076923,0.7652892561983471,141,605,67,20359600,0.5388403251533441,0.24266693955957752,0.3663976555891599
ANY,longitudinal,elastic,157,0.69470147385357,0.29778186158877756,0.21724259343091465,0.6096837944664035,0.7152737119437936,0.9339449102940822,0.3203411830150203,0.6624787532050984,0.2216517859410506,0.7031584062196309,0.17384310571985412,0.595227887081265,0.21052631578947367,0.5970149253731343,0.311284046692607,0.7074380165289256,190,605,67,20371947,0.4501677026518472,0.16405048810427628,0.3644392379342446
ANY,no_maternal,elastic,149,0.7151705032390394,0.3414069765790181,0.386301369863014,0.4179841897233203,0.9139344262295077,0.9237540453074429,0.4015187470336975,0.6659593079764139,0.32080081713121794,0.85702947845805,0.1595427504045765,0.576234628252242,0.3611111111111111,0.3880597014925373,0.37410071942446044,0.856198347107438,72,605,67,20260824,0.6835443839213995,0.08611796577795794,0.3611926093207633
ANY,no_maternal,elastic,149,0.6919372511323908,0.35531816423815743,0.32880434782608725,0.3586956521739132,0.9050973360655733,0.9158890616899943,0.34310018903591705,0.6318964941197431,0.25406378273724073,0.8424036281179139,0.16343155641247142,0.5552995680574155,0.3013698630136986,0.3283582089552239,0.3142857142857143,0.8413223140495868,73,605,67,20273171,0.7311308988309085,0.12390188837542518,0.4158941701782179
ANY,no_maternal,elastic,149,0.6814914828170465,0.2816021577372838,0.28243105209397384,0.39031620553359697,0.8714688231850111,0.9168623676612123,0.32772312433329415,0.6308925143593039,0.22841198220330095,0.8162617427923551,0.16257561125908798,0.5898411673379023,0.2553191489361702,0.3582089552238806,0.2981366459627329,0.8132231404958677,94,605,67,20285518,0.6379959031516164,0.1770239393482354,0.34580174631548055
