target,track,feature_set,model,n_features,seeds,roc_auc_w_mean,roc_auc_w_sd,roc_auc_w_q025,roc_auc_w_q975,pr_auc_w_mean,pr_auc_w_sd,pr_auc_w_q025,pr_auc_w_q975,precision_w_mean,precision_w_sd,precision_w_q025,precision_w_q975,recall_w_mean,recall_w_sd,recall_w_q025,recall_w_q975,specificity_w_mean,specificity_w_sd,specificity_w_q025,specificity_w_q975,f1_w_mean,f1_w_sd,f1_w_q025,f1_w_q975,balanced_accuracy_w_mean,balanced_accuracy_w_sd,balanced_accuracy_w_q025,balanced_accuracy_w_q975,mcc_w_mean,mcc_w_sd,mcc_w_q025,mcc_w_q975,accuracy_w_mean,accuracy_w_sd,accuracy_w_q025,accuracy_w_q975,precision_raw_mean,precision_raw_sd,precision_raw_q025,precision_raw_q975,recall_raw_mean,recall_raw_sd,recall_raw_q025,recall_raw_q975,f1_raw_mean,f1_raw_sd,f1_raw_q025,f1_raw_q975,accuracy_raw_mean,accuracy_raw_sd,accuracy_raw_q025,accuracy_raw_q975,predicted_positive_mean,predicted_positive_sd,predicted_positive_q025,predicted_positive_q975,mean_threshold_mean,mean_threshold_sd,mean_threshold_q025,mean_threshold_q975,selection_score
T13,record,longitudinal,lda,157,2,0.5913765316457635,0.00519622490457202,0.5878859600724999,0.5948671032190272,0.1563603711581522,0.027728712344139466,0.1377335686526457,0.17498717366365873,0.07270581853840152,0.05166137408947983,0.03800221599151964,0.1074094210852834,0.2959459459459459,0.09746606983922682,0.23047297297297292,0.36141891891891886,0.8024344885883341,0.09515756514361645,0.738512256973795,0.8663567202028734,0.11527081992488508,0.0747605440758085,0.06505031662774512,0.16549132322202503,0.54919021726714,0.0963118174914216,0.484492614973384,0.6138878195608961,0.05913379743593899,0.10797802741971496,-0.013400598201307061,0.13166819307318503,0.7811872367994819,0.09525440717733265,0.7171999514091352,0.8451745221898285,0.07430555555555556,0.05205091583734308,0.03934027777777778,0.10927083333333333,0.34782608695652173,0.12297509238026913,0.2652173913043478,0.4304347826086956,0.12128246046714058,0.07878398490516009,0.06835920499057015,0.174205715943711,0.7818181818181817,0.0911641800538028,0.7205785123966942,0.8430578512396694,125.0,49.49747468305833,91.75,158.25,0.25886247093517356,0.01475671115071534,0.24894962893862574,0.26877531293172147,0.11221672102174818
T13,record,z_only,elastic,9,2,0.2977496135188462,0.043393760266407996,0.26859979248056376,0.3268994345571286,0.029227161486853486,0.0018287840701872351,0.027998673150365923,0.03045564982334105,0.035481948397360304,0.00014391221360197774,0.035385275160333456,0.03557862163438715,0.7499999999999998,0.0668884793014302,0.7050675675675674,0.7949324324324323,0.10711749788672907,0.08337045971251054,0.051113271344040805,0.16312172442941733,0.06774555141468949,1.165057990007024e-05,0.06773772512083999,0.06775337770853898,0.42855874894336454,0.008240990205540227,0.4230228518882366,0.4340946459984925,-0.10304204943548678,0.04703892045078206,-0.13464051208440722,-0.07144358678656634,0.13408649173955298,0.07706708018471459,0.08231656948493685,0.1858564139941691,0.0371793628473064,0.0008400386044256605,0.03661506570334093,0.037743659991271876,0.8695652173913043,0.06148754619013452,0.8282608695652174,0.9108695652173913,0.0712975524007872,0.001337554145966868,0.07039904847431072,0.07219605632726368,0.13801652892561983,0.07830769312313832,0.08541322314049588,0.19061983471074379,538.5,50.204581464244875,504.775,572.225,0.17454620585709518,0.019047805329972158,0.16175081515732784,0.18734159655686253,0.07066535491839983
T18,record,engineered,elastic,64,2,0.8209286734299113,0.003913353570434648,0.818299872525418,0.8235574743344044,0.4596241712296557,0.021369133343655373,0.4452694250890463,0.4739789173702651,0.4259450788580606,0.07143772448711576,0.37795668441155356,0.47393347330456764,0.5823699421965319,0.034742240694136804,0.5590317919075145,0.6057080924855494,0.9309266029246339,0.02388672724691635,0.9148806594488184,0.9469725464004496,0.48891890142850325,0.03537453840103529,0.46515600424302306,0.5126817986139834,0.756648272560583,0.0054277567236101915,0.7530021691539821,0.7602943759671837,0.4458366489369797,0.03521146637753499,0.4221832956184564,0.46949000225550297,0.9035795270489149,0.01928681275539603,0.8906235827664399,0.9165354713313899,0.3988235294117647,0.07376094266494966,0.3492745098039216,0.4483725490196078,0.5326086956521738,0.04611565964260089,0.5016304347826087,0.5635869565217391,0.4519894351197069,0.03144838883695813,0.4308639345659027,0.4731149356735111,0.9008264462809917,0.021037887704723722,0.8866942148760331,0.9149586776859504,63.0,16.97056274847714,51.6,74.4,0.6753458796990801,0.09027907121971192,0.6147007834133327,0.7359909759848277,0.52603768395121
T18,record,longitudinal,elastic,157,2,0.7939567101845293,0.01175761324777146,0.7860585165293648,0.8018549038396938,0.39739745344112043,0.06610186986316653,0.3529934270332325,0.4418014798490084,0.39857731138900354,0.013783841953407979,0.38931799567874803,0.40783662709925905,0.5303468208092486,0.008174644869208637,0.5248554913294798,0.5358381502890174,0.9317702474690661,0.004971223152323919,0.9284308211473562,0.9351096737907759,0.4549768543105194,0.0059767235374549735,0.4509619816550383,0.4589917269660005,0.7310585341391573,0.0016017108584423594,0.7299825825601278,0.7321344857181868,0.40636783655521114,0.006157803998502503,0.40223132283888036,0.410504350271542,0.900275348234532,0.003939823983287593,0.8976287657920312,0.9029219306770329,0.3733103249928099,0.017896288968770806,0.3612884670693126,0.38533218291630716,0.4782608695652174,0.0,0.4782608695652174,0.4782608695652174,0.41919970964522274,0.011292150756631182,0.41161419108973774,0.4267852282007077,0.8991735537190082,0.004675086156605211,0.8960330578512397,0.9023140495867769,59.0,2.8284271247461903,57.1,60.9,0.7306336523836828,0.002106077396021114,0.7292188918556741,0.7320484129116915,0.4932224187702677
T18,record,longitudinal,lda,157,2,0.7855227834485827,0.02527846020065266,0.7685419413540387,0.8025036255431267,0.33761728966069443,0.07003440090055511,0.29057157985723064,0.3846629994641582,0.42267473784243476,0.0200740107976846,0.4091899921398127,0.4361594835450568,0.4197976878612717,0.025545765216276963,0.40263728323699427,0.4369580924855491,0.9512092238470188,0.0010439568619880896,0.9505079443194597,0.9519105033745778,0.4212218887600883,0.022829349739263732,0.4058862401499112,0.4365575373702654,0.6855034558541452,0.013294861039132565,0.6765726137782269,0.6944342979300635,0.3721525556968044,0.024397909385818532,0.3557632248819916,0.38854188651161725,0.9095157110463234,0.002966320964161333,0.9075230806608359,0.911508341431811,0.4111111111111111,0.015713484026367706,0.40055555555555555,0.4216666666666667,0.40217391304347827,0.01537188654753363,0.39184782608695656,0.4125,0.4065934065934066,0.015540808377726343,0.39615384615384613,0.41703296703296705,0.9107438016528926,0.0023375430783026444,0.9091735537190082,0.9123140495867769,45.0,0.0,45.0,45.0,0.24396563851859887,0.050059895135225914,0.21033783176877346,0.2775934452684243,0.4492762802913418
T18,woman,woman_compact,xgboost,187,2,0.7307692307692308,0.02538332035028631,0.7137179487179488,0.747820512820513,0.3922940270812718,0.0018162294112620799,0.3910739723550226,0.39351408180752095,0.30026075619295955,0.05476159426659832,0.2634745762711865,0.3370469361147327,0.6166666666666667,0.07071067811865474,0.5691666666666666,0.6641666666666667,0.6282051282051282,0.054392829322042084,0.5916666666666667,0.6647435897435897,0.40366646954464813,0.06473100516125224,0.3601833234772324,0.44714961561206384,0.6224358974358974,0.06255175372034845,0.5804166666666666,0.6644551282051282,0.20049976276950007,0.10404711685261378,0.13060596197457738,0.2703935635644228,0.6258503401360545,0.0577230025458406,0.5870748299319728,0.664625850340136,0.30026075619295955,0.05476159426659832,0.2634745762711865,0.3370469361147327,0.6166666666666667,0.07071067811865474,0.5691666666666666,0.6641666666666667,0.40366646954464813,0.06473100516125224,0.3601833234772324,0.44714961561206384,0.6258503401360545,0.0577230025458406,0.5870748299319728,0.664625850340136,62.0,4.242640687119285,59.15,64.85,0.3564110148419328,0.03858161168801871,0.33049376155091387,0.3823282681329518,0.4267131209624623
T18,woman,woman_compact,lightgbm,187,2,0.6991452991452991,0.025383320350286388,0.682094017094017,0.7161965811965813,0.358218623552772,0.017230178721384118,0.3466442261485725,0.36979302095697153,0.264373897707231,0.010226235636207573,0.2575044091710758,0.27124338624338623,0.6666666666666666,0.09428090415820632,0.6033333333333333,0.73,0.5256410256410257,0.042305533917143874,0.49722222222222223,0.5540598290598291,0.3781981981981982,0.025736138702645524,0.3609099099099099,0.3954864864864865,0.5961538461538461,0.0259876851205313,0.5786965811965812,0.6136111111111111,0.15556673712099833,0.04247951657092692,0.12703106060361102,0.18410241363838561,0.554421768707483,0.01443075063646009,0.5447278911564626,0.5641156462585034,0.264373897707231,0.010226235636207573,0.2575044091710758,0.27124338624338623,0.6666666666666666,0.09428090415820632,0.6033333333333333,0.73,0.3781981981981982,0.025736138702645524,0.3609099099099099,0.3954864864864865,0.554421768707483,0.01443075063646009,0.5447278911564626,0.5641156462585034,75.5,7.7781745930520225,70.275,80.725,0.26203554963078923,0.07682051336081351,0.21043125899570936,0.31363984026586905,0.407586025877814
T18,record,engineered,lda,64,2,0.810297810723443,0.003471834242484005,0.8079656010642277,0.8126300203826583,0.40972760839950373,0.022618517540145388,0.39453358662313126,0.4249216301758762,0.37091957709919876,0.12743797464362328,0.2853129338505727,0.45652622034782475,0.4046242774566474,0.08174644869208642,0.34971098265895956,0.4595375722543352,0.9323238892013495,0.04689106238429525,0.9008247504218216,0.9638230279808773,0.37263984534091954,0.032828314158428455,0.3505873779623898,0.3946923127194493,0.6684740833289984,0.017427693153895644,0.6567670053199183,0.6801811613380785,0.3231010947985189,0.04699575818235125,0.29153162646566233,0.35467056313137546,0.8909216067379334,0.03679841412297344,0.8662022189828313,0.9156409944930355,0.37713675213675213,0.134471161379493,0.28680555555555554,0.4674679487179487,0.42391304347826086,0.07685943273766824,0.37228260869565216,0.47554347826086957,0.3847364280094414,0.04228175874915623,0.35633359559402045,0.41313926042486226,0.8942148760330578,0.03740068925284215,0.8690909090909091,0.9193388429752065,57.0,29.698484809834994,37.05,76.95,0.23322825438974365,0.0432238036604213,0.20419260194663183,0.2622639068328555,0.4054055276412628
T18,record,longitudinal,extra_trees,157,2,0.771204303095152,0.021551814852369695,0.7567268403876138,0.7856817658026901,0.37786658082875524,0.010191523480130171,0.37102041023350435,0.38471275142400607,0.3477288716004297,0.08332132833601054,0.291757649130759,0.4037000940701004,0.41618497109826597,0.09196475477859728,0.3544075144508671,0.47796242774566483,0.9277453599550052,0.040490612575678306,0.9005457325646787,0.9549449873453316,0.36892250079031214,0.011238601079287027,0.3613729543078085,0.37647204727281575,0.6719651655266355,0.025737071101459445,0.6546762508980993,0.6892540801551718,0.3162032543828581,0.0181457714487231,0.3040138062436674,0.3283927025220488,0.8876093294460642,0.03009842275604544,0.8673906705539359,0.9078279883381924,0.35993589743589743,0.09201453626978791,0.29812500000000003,0.42174679487179484,0.43478260869565216,0.09223131928520187,0.3728260869565217,0.4967391304347826,0.38315828957239306,0.0172400378008723,0.3715772693173293,0.39473930982745686,0.8925619834710744,0.030388060017934298,0.8721487603305785,0.9129752066115703,59.0,26.870057685088806,40.95,77.05,0.2768453791108133,0.05738376739061102,0.2382977506114774,0.3153930076101492,0.4038995086033659
T18,woman,woman_compact,elastic,187,2,0.6407407407407408,0.0048349181619592035,0.6374928774928776,0.6439886039886039,0.33236334879106866,0.0030438042005609986,0.3303186689297889,0.3344080286523484,0.26583801122694467,0.014176158403900302,0.2563151563753007,0.2753608660785886,0.6333333333333333,0.14142135623730948,0.5383333333333333,0.7283333333333333,0.5470085470085471,0.13296024945388077,0.4576923076923077,0.6363247863247864,0.3714733542319749,0.011083178388503858,0.3640282131661442,0.37891849529780564,0.5901709401709402,0.004230553391714372,0.5873290598290598,0.5930128205128206,0.14809280892338333,0.006103734759830478,0.14399261629610516,0.1521930015506615,0.564625850340136,0.07696400339445415,0.5129251700680272,0.616326530612245,0.26583801122694467,0.014176158403900302,0.2563151563753007,0.2753608660785886,0.6333333333333333,0.14142135623730948,0.5383333333333333,0.7283333333333333,0.3714733542319749,0.011083178388503858,0.3640282131661442,0.37891849529780564,0.564625850340136,0.07696400339445415,0.5129251700680272,0.616326530612245,72.0,19.79898987322333,58.7,85.3,0.2579366838143565,0.1034968089996585,0.1884125531132705,0.32746081451544257,0.4019388945139558
T18,woman,woman_compact,lda,187,2,0.6384615384615384,0.005036373085374226,0.6350783475783476,0.6418447293447294,0.320214905308942,0.02016740899715298,0.306667419231135,0.33376239138674896,0.2673611111111111,0.06383602885711888,0.22447916666666665,0.31024305555555554,0.6166666666666667,0.16499158227686106,0.5058333333333334,0.7274999999999999,0.5299145299145299,0.2659204989077614,0.3512820512820513,0.7085470085470086,0.36285032796660704,0.030780438298519976,0.34217352415026836,0.38352713178294573,0.5732905982905983,0.050464458315450246,0.5393910256410256,0.607190170940171,0.12597767963496193,0.08674230407300687,0.06770841178048172,0.18424694748944212,0.5476190476190477,0.1779792578496752,0.42806122448979594,0.6671768707482992,0.2673611111111111,0.06383602885711888,0.22447916666666665,0.31024305555555554,0.6166666666666667,0.16499158227686106,0.5058333333333334,0.7274999999999999,0.36285032796660704,0.030780438298519976,0.34217352415026836,0.38352713178294573,0.5476190476190477,0.1779792578496752,0.42806122448979594,0.6671768707482992,73.5,36.062445840513924,49.275,97.725,0.035668992732975156,0.03067950110503581,0.015059993621923708,0.056277991844026605,0.38717670892287126
T18,record,longitudinal,xgboost,157,2,0.7445286246169198,0.008171082877667752,0.7390396879101054,0.7500175613237341,0.3270024709927416,0.013026740451784938,0.3182517393080381,0.33575320267744513,0.27812863762535833,0.00027106920728464445,0.2779465464944486,0.27831072875626806,0.41618497109826597,0.006130983651906459,0.4120664739884394,0.42030346820809256,0.9080339566929128,0.0014789388878164082,0.9070404773622042,0.9090274360236215,0.33342146640018994,0.0017729065336553537,0.3322305138794502,0.3346124189209297,0.6621094638955893,0.0023260223820450645,0.6605469550060304,0.6636719727851483,0.2708259621440588,0.0020420881698113387,0.2694541864710371,0.2721977378170805,0.8694444444444445,0.0008818792055614731,0.8688520408163265,0.8700368480725624,0.28778467908902694,0.002927978390006427,0.28581780538302276,0.28975155279503106,0.43478260869565216,0.0,0.43478260869565216,0.43478260869565216,0.34632683658170915,0.002120260213452893,0.3449025487256372,0.3477511244377811,0.8752066115702479,0.001168771539151283,0.8744214876033058,0.87599173553719,69.5,0.7071067811865476,69.025,69.975,0.38413571951803094,0.004073590020490019,0.38139927954713176,0.38687215948893017,0.36567848686605026
T18,record,longitudinal,lightgbm,157,2,0.737773364097642,0.006564906060083203,0.7333633789843514,0.7421833492109328,0.32787907507933234,0.018909007823824757,0.31517692180448315,0.34058122835418153,0.2904732254047323,0.02509656695369446,0.2736145703611457,0.30733188044831894,0.4140173410404625,0.05824434469311159,0.3748916184971099,0.4531430635838151,0.9141855314960625,0.001652931698147861,0.9130751722440938,0.9152958907480311,0.3412897876141751,0.03715347284857838,0.3163318886481081,0.36624768658024215,0.6641014362682625,0.028295706497481903,0.6450937546225703,0.6831091179139545,0.2798811735643433,0.041659054017674106,0.2518966439503149,0.3078657031783716,0.8749433106575966,0.0030464918010304435,0.8728968253968256,0.8769897959183676,0.3046218487394958,0.02673933206167619,0.2866596638655462,0.3225840336134454,0.4347826086956522,0.061487546190134565,0.3934782608695652,0.47608695652173916,0.35812007081924996,0.03937855243691377,0.3316674714308708,0.38457267020762914,0.8818181818181818,0.003506314617454006,0.8794628099173554,0.8841735537190083,65.5,3.5355339059327378,63.125,67.875,0.36970049622740964,0.03378528119865387,0.34700518485954024,0.39239580759527903,0.3647893269099638
