target,track,feature_set,model,roc_auc_w,pr_auc_w,precision_w,recall_w,specificity_w,npv_w,f1_w,balanced_accuracy_w,mcc_w,accuracy_w,brier_w,logloss_w,precision_raw,recall_raw,f1_raw,accuracy_raw,predicted_positive,n,positive,seed,mean_threshold,sd_threshold,mean_inner_f1
ANY,record,engineered,elastic,0.752464088240104,0.42202604220763434,0.3611484970838949,0.5681818181818186,0.869730679156908,0.9395394801857888,0.44160403752262944,0.7189562486693631,0.36287053207156034,0.8351311953352771,0.153512518824576,0.542416707233595,0.3364485981308411,0.5373134328358209,0.41379310344827586,0.8314049586776859,107,605,67,20633017,0.57686272068675,0.04882257522558612,0.3826999483881795
ANY,record,engineered,elastic,0.7619290424064236,0.49174828467430814,0.4470508474576274,0.46541501976284605,0.9253878805620604,0.9303412121769518,0.45604813610899814,0.6954014501624531,0.384038945244858,0.8726109491415616,0.15317851515653658,0.48848623113904005,0.42028985507246375,0.43283582089552236,0.4264705882352941,0.8710743801652893,69,605,67,20640936,0.7010249033435959,0.06843019141495127,0.3911653265197818
ANY,record,engineered,elastic,0.7813092277910971,0.4410792111340395,0.35872027180068017,0.5365612648221347,0.8756769613583132,0.9358086970123569,0.42997737556561144,0.7061191130902238,0.34844813051908125,0.836767087787496,0.15254218087287796,0.5098653616649524,0.33663366336633666,0.5074626865671642,0.40476190476190477,0.8347107438016529,101,605,67,20648855,0.6178521849989733,0.10631261045201616,0.40621992258659334
ANY,record,engineered,elastic,0.7575227370114447,0.39370129415944344,0.4935110487548229,0.3972332015810279,0.9471604215456672,0.9238017059852238,0.4401689347724075,0.6721968115633474,0.37910401156134776,0.8840621963070944,0.1625512523872267,0.5340902861376992,0.48214285714285715,0.40298507462686567,0.43902439024390244,0.8859504132231405,56,605,67,20656774,0.7380442402167811,0.03481230475932518,0.4674356357841301
ANY,record,engineered,elastic,0.7253292084081577,0.38397005489785135,0.3062254627033096,0.46245059288537566,0.8642052107728332,0.9253947729320948,0.3684624901585878,0.6633279018291043,0.2750638002627516,0.8181081956592161,0.16615493606783874,0.5437780821268433,0.28431372549019607,0.43283582089552236,0.3431952662721893,0.8165289256198347,102,605,67,20664693,0.6076299110469235,0.06268720691775767,0.40556502451529886
ANY,record,engineered,elastic,0.7077151357307162,0.3444923172076171,0.35328303425774943,0.48913043478260904,0.8839468676814982,0.9303127166294382,0.41025337437840453,0.6865386512320535,0.32527394259496767,0.838645934564302,0.1612067764607757,0.5523331847423951,0.35789473684210527,0.5074626865671642,0.41975308641975306,0.8446280991735537,95,605,67,20672612,0.6315892175457076,0.03763402736659225,0.42372898599057335
ANY,record,engineered,elastic,0.7694984601738546,0.411062357687705,0.4549166383123518,0.5662055335968382,0.9120682084309129,0.9419345086257389,0.5044965725426078,0.7391368710138754,0.4356644156619689,0.8723841917719469,0.1625402470729608,0.5312034631602669,0.4444444444444444,0.5373134328358209,0.4864864864864865,0.8743801652892562,81,605,67,20680531,0.6809913663750816,0.027274746427399032,0.44568646455077704
ANY,record,engineered,elastic,0.7592862041142512,0.4374158265667036,0.44466273739358275,0.4792490118577078,0.9224238875878217,0.9318177617595413,0.46130851280657703,0.7008364497227646,0.3888727474117156,0.8715743440233237,0.15008001883706837,0.4995264210070432,0.44,0.4925373134328358,0.4647887323943662,0.8743801652892562,75,605,67,20688450,0.664771635697501,0.0697466655789255,0.4015609916646572
ANY,record,engineered,elastic,0.7638434957809178,0.4108303300716249,0.43104219472193245,0.40810276679841917,0.9301814988290393,0.923809350753184,0.4192589369878908,0.6691421328137291,0.3464688939397273,0.8702785876255266,0.1640423684459522,0.531144521393387,0.4375,0.417910447761194,0.42748091603053434,0.8760330578512396,64,605,67,20696369,0.7237438749459923,0.029787493528832476,0.44104201180425473
ANY,record,engineered,elastic,0.7660071000067883,0.40537071404010305,0.3825980392156867,0.44071146245059317,0.907823477751756,0.9260544979469948,0.4096037785358177,0.6742674701011745,0.3279880997586631,0.8542274052478136,0.1643915888055294,0.5403519055006167,0.38461538461538464,0.44776119402985076,0.41379310344827586,0.859504132231405,78,605,67,20704288,0.700131372470309,0.04869191186667298,0.39415411257518834
ANY,record,engineered,elastic,0.7692063348232606,0.42589255524464265,0.37492722685814156,0.5454545454545457,0.8821355386416856,0.937395497141968,0.444393329499713,0.7137950420481155,0.3654395980464772,0.8435050210560416,0.16156991180894237,0.5307975618920967,0.38,0.5671641791044776,0.4550898203592814,0.8495867768595041,100,605,67,20712207,0.6138518189191869,0.04387243923134106,0.4068013682542267
ANY,record,engineered,elastic,0.7286102882216678,0.4109470651608698,0.33214709371293066,0.5138339920948619,0.8660897248243553,0.9321793584214565,0.4034805741838946,0.6899618584596086,0.3168972833190053,0.8256721736313574,0.16414673844671182,0.5542689276275082,0.33962264150943394,0.5373134328358209,0.4161849710982659,0.8330578512396695,106,605,67,20720126,0.6023481911529093,0.09387859479474761,0.4344189231319429
ANY,record,engineered,elastic,0.7075002451553261,0.35462257458799407,0.35192902271810744,0.3695652173913045,0.9117937646370019,0.9177547374818139,0.3605315706121327,0.6406794910141531,0.2754595219617857,0.8495788791707162,0.17832948047688066,0.541862325034499,0.35714285714285715,0.373134328358209,0.36496350364963503,0.856198347107438,70,605,67,20728045,0.6911420365854849,0.05219946230942913,0.4559922948695445
ANY,record,engineered,elastic,0.744407999787098,0.3658623844482734,0.41868798235942695,0.4288537549407117,0.9228264051522245,0.9257396666911384,0.4237099023709905,0.6758400800464679,0.3480350136962317,0.8661483641075479,0.16286897134472464,0.5328212533888296,0.42028985507246375,0.43283582089552236,0.4264705882352941,0.8710743801652893,69,605,67,20735964,0.7056285072859667,0.02989644281900373,0.4789501071756238
ANY,record,engineered,elastic,0.7386368698568005,0.3198866527850129,0.3451445762995153,0.2915019762845851,0.9283152810304446,0.9099843965780076,0.3160633657304661,0.6099086286575148,0.23681585901188518,0.8552478134110788,0.1593292185670405,0.5849114853163115,0.3620689655172414,0.31343283582089554,0.336,0.8628099173553719,58,605,67,20743883,0.743776766281791,0.08052957585986337,0.4551906051454903
ANY,record,engineered,elastic,0.7324340845548192,0.355676900589315,0.3693387681159426,0.46047430830039554,0.898089871194379,0.9277613971422086,0.40990198542347367,0.6792820897473872,0.3263885368445881,0.847878198898607,0.1630830815743376,0.5328049951238925,0.367816091954023,0.47761194029850745,0.4155844155844156,0.8512396694214877,87,605,67,20751802,0.6278540871864322,0.030277254039012227,0.42438662777973074
