target,track,feature_set,model,n_features,roc_auc_w,pr_auc_w,precision_w,recall_w,specificity_w,npv_w,f1_w,balanced_accuracy_w,mcc_w,accuracy_w,brier_w,logloss_w,precision_raw,recall_raw,f1_raw,accuracy_raw,predicted_positive,n,positive,seed,mean_threshold,sd_threshold,mean_inner_f1
T21,record,engineered,elastic,64,0.4574080658202125,0.09527303685178344,0.030241935483871035,0.3095238095238095,0.7579171506000768,0.9782630421746951,0.055100310822266296,0.5337204800619432,0.023949610834540527,0.7472411186696902,0.13387816606498765,0.4430072698255083,0.02702702702702703,0.3076923076923077,0.049689440993788817,0.7471074380165289,148,605,13,20561746,0.7367207751169126,0.4231515385181365,0.18678791909917875
T21,record,engineered,elastic,64,0.5315913047371499,0.06390072085060057,0.027788069655428002,0.23809523809523805,0.7968253968253963,0.9772101414870381,0.04976775049767761,0.5174603174603172,0.013211385489884542,0.7835222978080122,0.13052901030333602,0.4175161978478447,0.023809523809523808,0.23076923076923078,0.04316546762589928,0.7801652892561983,126,605,13,20569665,0.7497409707356333,0.4155541791696442,0.13664318617836976
T21,record,engineered,elastic,64,0.37377015072386066,0.020036711324324996,0.006912442396313379,0.07142857142857141,0.7497096399535418,0.9706766917293231,0.012605042016806747,0.4105691056910566,-0.06331230176485722,0.7335600907029479,0.1297536742877103,0.44818419938311255,0.006756756756756757,0.07692307692307693,0.012422360248447204,0.7371900826446282,148,605,13,20577584,0.7162200534745081,0.4153456149809009,0.205180109449301
T21,record,engineered,elastic,64,0.47084311076347063,0.0939053946781599,0.017786638520777186,0.3095238095238095,0.5831093412974944,0.9719295334494868,0.033640161177036054,0.44631657541065195,-0.03322863543765106,0.5765954000647878,0.1179630507285724,0.3874112601436914,0.015748031496062992,0.3076923076923077,0.0299625468164794,0.571900826446281,254,605,13,20585503,0.4285973486943368,0.3984574615356701,0.10276266465554929
T21,record,engineered,elastic,64,0.5170582906023435,0.10168225429002668,0.019143466608324736,0.4761904761904761,0.4049112327857974,0.9694128863112735,0.03680723525081513,0.44055085448813674,-0.0368867195741019,0.40660835762876585,0.11537380209455443,0.3790868223677977,0.016666666666666666,0.46153846153846156,0.032171581769437,0.4033057851239669,360,605,13,20593422,0.28664047331978226,0.4132075674483787,0.07638422749590278
T21,record,engineered,elastic,64,0.3843669097526763,0.08995367847095272,0.022431729518855744,0.5476190476190476,0.4179248935346499,0.9742779783393501,0.043098063710181295,0.4827719705768488,-0.010647558389563985,0.4210128495842782,0.14068249457093063,0.4607354550147048,0.02005730659025788,0.5384615384615384,0.03867403314917127,0.42479338842975206,349,605,13,20601341,0.29313361187562714,0.3267480067812073,0.08618768830301814
T21,record,engineered,elastic,64,0.2830261179191006,0.01670330670402522,0.007842258570468311,0.07142857142857141,0.7795918367346933,0.971768939628963,0.014132848778518097,0.42551020408163237,-0.055113658654537365,0.7627308066083577,0.14187858865659245,0.5208816902971752,0.007462686567164179,0.07692307692307693,0.013605442176870748,0.7603305785123967,134,605,13,20609260,0.7269927499055084,0.41536705289544457,0.1538303495873009
T21,record,engineered,elastic,64,0.2599224126352065,0.016056147865702464,0.00512145156570092,0.07142857142857141,0.6615729218516673,0.9668994616615741,0.00955761878754781,0.36650074664011933,-0.08643132758265513,0.6475218658892129,0.13574609347543598,0.4883446617355251,0.0049504950495049506,0.07692307692307693,0.009302325581395349,0.6479338842975206,202,605,13,20617179,0.48383695198729276,0.4406284048157733,0.11924044034297969
T21,record,engineered,elastic,64,0.38174194958665036,0.05417826575560636,0.023073373327180496,0.4761904761904761,0.5082462253193958,0.9754792688363798,0.04401408450704236,0.49221835075493603,-0.004746120734930456,0.5074829931972789,0.12310245897649788,0.4087604118523197,0.020477815699658702,0.46153846153846156,0.0392156862745098,0.5140495867768595,293,605,13,20625098,0.4984959183880013,0.4960137908389805,0.16063344607883157
T21,record,engineered,elastic,64,0.4529411299943925,0.05818158630082972,0.029239766081871423,0.3095238095238095,0.7493612078977928,0.9780203122631498,0.05343197698314851,0.5294425087108011,0.02067631107883543,0.7388888888888889,0.11951549324673685,0.39718629576142667,0.025974025974025976,0.3076923076923077,0.04790419161676647,0.7371900826446282,154,605,13,20633017,0.7182284513184528,0.41367429242712417,0.18259639662839947
T21,record,engineered,elastic,64,0.4467610040531905,0.09468413789178257,0.028410139098992804,0.5238095238095237,0.5630827940932472,0.979790397551751,0.05389703566303866,0.5434461589513855,0.026693887645484898,0.5621477162293489,0.12388958664173562,0.41111565085295027,0.02631578947368421,0.5384615384615384,0.05017921146953405,0.5619834710743802,266,605,13,20640936,0.49222344731536355,0.4770329670113146,0.13011979367363136
T21,record,engineered,elastic,64,0.45357913200123473,0.0933249418916773,0.022476501838986578,0.5238095238095238,0.44436701509872256,0.9745287824758024,0.04310344827586218,0.4840882694541232,-0.009762285495169228,0.44625850340136064,0.12402773749854676,0.39441041041962444,0.020833333333333332,0.5384615384615384,0.04011461318051576,0.4462809917355372,336,605,13,20648855,0.33234114649413,0.40854636572075764,0.08279448902400063
T21,record,engineered,elastic,64,0.5029923545105239,0.09701023757943594,0.022805874392261106,0.3095238095238095,0.6765223162435703,0.975711311589174,0.04248167685915702,0.4930230628836899,-0.004548736123960142,0.6677842565597668,0.12072228989638195,0.39414851569299963,0.020512820512820513,0.3076923076923077,0.038461538461538464,0.6694214876033058,195,605,13,20656774,0.53848693589498,0.38704177138252205,0.09154550146683324
T21,record,engineered,elastic,64,0.4792523590930778,0.0950566429010286,0.02262833498556111,0.7142857142857142,0.24751949560311998,0.972617029599687,0.043866978609625934,0.48090260494441717,-0.013475989823444064,0.25863297700032395,0.1340175137881453,0.42939997850929007,0.019955654101995565,0.6923076923076923,0.03879310344827586,0.2628099173553719,451,605,13,20664693,0.2195532410244803,0.37544593227207945,0.059394321701377595
T21,record,engineered,elastic,64,0.33236625660717417,0.017735888755309768,0.0176772140710625,0.4761904761904761,0.3545876887340307,0.9652228896617135,0.03408897221748782,0.4153890824622534,-0.05379289754177761,0.35748299319727894,0.13971950538234462,0.46417414069938995,0.015345268542199489,0.46153846153846156,0.0297029702970297,0.35206611570247937,391,605,13,20672612,0.27104995958676426,0.42549323034825504,0.13414641630800328
