target,seed,precision_w_challenger,recall_w_challenger,f1_w_challenger,pr_auc_w_challenger,roc_auc_w_challenger,specificity_w_challenger,accuracy_w_challenger,precision_w_incumbent,recall_w_incumbent,f1_w_incumbent,pr_auc_w_incumbent,roc_auc_w_incumbent,specificity_w_incumbent,accuracy_w_incumbent,delta_precision_w,delta_recall_w,delta_f1_w,delta_pr_auc_w,delta_roc_auc_w,delta_specificity_w,delta_accuracy_w
ANY,20514232,0.4327037379474313,0.4624505928853757,0.447082906857728,0.4456530333162258,0.7953952091876405,0.9214175936768145,0.8687560738581148,0.4352815585801978,0.4604743083003955,0.4475236657977778,0.4094605104767834,0.7696345732069964,0.9225702576112408,0.8695497246517657,-0.0025778206327665143,0.0019762845849802257,-0.0004407589400498013,0.03619252283944241,0.025760635980644153,-0.0011526639344262568,-0.0007936507936509019
ANY,20522151,0.3774509803921571,0.3913043478260871,0.38425284169670104,0.40232509951356343,0.7563526506569875,0.9163495316159247,0.8561062520246194,0.3291371950269535,0.4970355731225299,0.3960258693410821,0.3961122846450042,0.7315263469416958,0.868693891491022,0.8260501025807149,0.04831378536520359,-0.1057312252964428,-0.01177302764438104,0.0062128148685592355,0.02482630371529171,0.04765564012490264,0.030056149443904556
ANY,20530070,0.2910443211607642,0.6739130434782613,0.4065227572699801,0.47940062168403064,0.7961639832644488,0.7872328747072594,0.7742306446388081,0.3269584406031635,0.5019762845849806,0.3959910913140317,0.42692134038266,0.7665095177638055,0.8660714285714279,0.8242954324586979,-0.035914119442399306,0.17193675889328075,0.0105316659559484,0.05247928130137064,0.029654465500643323,-0.07883855386416849,-0.05006478781988977
ANY,20537989,0.5020040080160322,0.4950592885375496,0.4985074626865674,0.4864550547672985,0.8025113427125858,0.9363473360655733,0.8857142857142858,0.332969114219115,0.6452569169960477,0.4392658081875848,0.4100317432713806,0.7561055728988286,0.8324612119437933,0.8109815354713314,0.16903489379691716,-0.1501976284584981,0.05924165449898261,0.07642331149591791,0.046405769813757214,0.10388612412178,0.07473275024295434
ANY,20545908,0.40333013895543884,0.47529644268774723,0.4363659927423538,0.4781876629566297,0.8090942694303795,0.9088663641686178,0.8591188856494979,0.3369382146972793,0.5365612648221347,0.4139395589436434,0.4233782887409917,0.7753569191559215,0.8631440281030439,0.8256721736313574,0.06639192425815954,-0.0612648221343875,0.0224264337987104,0.054809374215637974,0.03373735027445801,0.045722336065573854,0.033446712018140534
ANY,20553827,0.4869674635987777,0.3824110671936761,0.42840199256740746,0.4696984031867764,0.778630797381076,0.9477824941451988,0.8829122125040492,0.3143069629078744,0.4772727272727275,0.3790146292248196,0.3720351389775321,0.7299431847108702,0.8650468384074935,0.8205539358600584,0.17266050069090327,-0.09486166007905139,0.049387363342587864,0.09766326420924432,0.048687612670205827,0.08273565573770525,0.06235827664399074
ANY,20561746,0.45814479638009076,0.40019762845849827,0.427215189873418,0.43038333823213876,0.7854234018090486,0.9386526639344258,0.8768707482993199,0.3324090121317165,0.5415019762845853,0.4119415807560144,0.3806942896686071,0.7647298455805894,0.8590456674473061,0.8226109491415614,0.12573578424837428,-0.14130434782608703,0.015273609117403608,0.04968904856353168,0.020693556228459142,0.07960699648711966,0.05425979915775847
ANY,20569665,0.38387096774193613,0.5711462450592889,0.45914661824784436,0.5006017693459685,0.8109912883319759,0.8811841334894607,0.845610625202462,0.3571745496494816,0.5681818181818186,0.4386203890372153,0.3965510666105334,0.7567725665356861,0.8674619437939105,0.8331227729186913,0.026696418092454544,0.0029644268774703386,0.020526229210629077,0.10405070273543504,0.054218721796289726,0.013722189695550169,0.012487852283770695
ANY,20577584,0.3934461805555561,0.5118577075098817,0.4449079754601231,0.4482767869830825,0.784687495902025,0.8977239461358307,0.8534499514091353,0.4078319006685774,0.4822134387351781,0.4419146183699874,0.434038909769177,0.7481572672138093,0.9092505854800932,0.8602526724975704,-0.014385720113021305,0.029644268774703608,0.0029933570901357065,0.014237877213905514,0.03653022868821576,-0.011526639344262457,-0.00680272108843516
ANY,20585503,0.41556316024401146,0.39426877470355753,0.40463600144875067,0.41871883580578134,0.785384627734169,0.9281323185011706,0.8668772270813087,0.3873144399460191,0.364624505928854,0.3756271358976226,0.3801617367274178,0.7424981807401736,0.9252415105386412,0.8609167476514418,0.028248720297992358,0.029644268774703553,0.029008865551128082,0.03855709907836352,0.04288644699399535,0.0028908079625293848,0.005960479429866883
ANY,20593422,0.44608695652173974,0.5069169960474311,0.47456059204440376,0.4749826164890454,0.770508213257846,0.9184170081967208,0.871201814058957,0.4135191156149246,0.5069169960474311,0.455479452054795,0.3724333405987262,0.7353686564793904,0.906817183840749,0.860932944606414,0.03256784090681514,0.0,0.019081139989608753,0.1025492758903192,0.035139556778455594,0.011599824355971733,0.010268869452543017
ANY,20601341,0.4010840108401088,0.43873517786561284,0.4190655969797078,0.472244184199208,0.8122382900606462,0.9150870901639339,0.8604308390022678,0.3596474779673736,0.5415019762845853,0.4322253521126766,0.3842069344095582,0.7616950540624143,0.8750365925058542,0.8367670877874961,0.04143653287273519,-0.10276679841897246,-0.013159755132968798,0.08803724978964977,0.05054323599823185,0.040050497658079665,0.02366375121477171
ANY,20609260,0.45641505024538503,0.5513833992094864,0.4994246260069049,0.49577904375794646,0.8092456594731298,0.9148858313817326,0.8731778425655978,0.3375700934579447,0.6373517786561268,0.4413705459699895,0.4263880397147203,0.7636385186890802,0.8378951990632313,0.8148850016196957,0.11884495678744034,-0.08596837944664038,0.05805408003691542,0.06939100404322618,0.045607140784049593,0.07699063231850134,0.05829284094590215
ANY,20617179,0.4649747507445297,0.5069169960474311,0.4850408590531509,0.4761131293815616,0.7978176969554266,0.9243998829039808,0.8764982183349532,0.462102689486553,0.5069169960474311,0.4834735779198927,0.4296979337146571,0.7669804474043719,0.9235216627634656,0.8757207644962747,0.0028720612579767324,0.0,0.0015672811332582137,0.046415195666904496,0.030837249551054713,0.0008782201405151957,0.0007774538386785546
ANY,20625098,0.3131695022054196,0.42094861660079075,0.35914729615801566,0.3705105045679054,0.7308577743791906,0.8803425058548003,0.8276320051830257,0.2741729655443216,0.3942687747035575,0.3234323432343238,0.3866692478084054,0.7174273966596781,0.8647175058548005,0.8107385811467445,0.038996536661098036,0.02667984189723327,0.03571495292369187,-0.016158743240499984,0.013430377719512498,0.015624999999999889,0.016893424036281246
ANY,20633017,0.4046772684752112,0.6106719367588936,0.48677844041858964,0.4923984256721686,0.8024314442536556,0.8835626463700228,0.8522513767411728,0.3611484970838949,0.5681818181818186,0.4416040375226294,0.4220260422076343,0.752464088240104,0.869730679156908,0.8351311953352771,0.04352877139131628,0.042490118577075076,0.04517440289596025,0.07037238346453434,0.04996735601355162,0.013831967213114749,0.017120181405895663
ANY,20640936,0.4431145113524191,0.5069169960474311,0.47287332104292906,0.5037779528405896,0.801974471833702,0.9174290105386412,0.8703271784904439,0.4470508474576274,0.465415019762846,0.4560481361089981,0.4917482846743081,0.7619290424064236,0.9253878805620604,0.8726109491415616,-0.003936336105208327,0.04150197628458513,0.01682518493393098,0.012029668166281482,0.0400454294272784,-0.007958870023419218,-0.0022837706511176226
ANY,20648855,0.4085056986070078,0.5464426877470359,0.4675120772946865,0.49506359606637607,0.812154878190828,0.8974495023419198,0.8571752510528021,0.3587202718006801,0.5365612648221347,0.4299773755656114,0.4410792111340395,0.7813092277910971,0.8756769613583132,0.836767087787496,0.04978542680632769,0.009881422924901129,0.03753470172907514,0.05398438493233659,0.030845650399730862,0.021772540983606592,0.020408163265306145
ANY,20656774,0.46164199192463046,0.5326086956521742,0.49459264599855846,0.48161411915983166,0.8057019778080676,0.9194964871194374,0.875105280207321,0.4935110487548229,0.3972332015810279,0.4401689347724075,0.3937012941594434,0.7575227370114447,0.9471604215456672,0.8840621963070944,-0.03186905683019242,0.1353754940711463,0.05442371122615097,0.08791282500038827,0.048179240796622946,-0.02766393442622972,-0.008956916099773338
ANY,20664693,0.3534468369220505,0.5978260869565222,0.44424630231826356,0.4480145108328575,0.7876556049305292,0.858258928571428,0.828377065111759,0.3062254627033096,0.4624505928853756,0.3684624901585878,0.3839700548978513,0.7253292084081577,0.8642052107728332,0.8181081956592161,0.0472213742187409,0.13537549407114657,0.07578381215967578,0.06404445593500618,0.062326396522371486,-0.00594628220140514,0.010268869452542906
ANY,20672612,0.43247240869268466,0.5365612648221347,0.47892647892647944,0.41583200031961554,0.7639155176909098,0.908738290398126,0.8660349854227406,0.3532830342577494,0.489130434782609,0.4102533743784045,0.3444923172076171,0.7077151357307162,0.8839468676814982,0.838645934564302,0.07918937443493529,0.04743083003952575,0.06867310454807496,0.07133968311199845,0.05620038196019361,0.02479142271662782,0.02738905085843857
ANY,20680531,0.403141361256545,0.5000000000000002,0.4463768115942032,0.46405257815475087,0.8075547867915227,0.9040544496487114,0.857693553611921,0.4549166383123518,0.5662055335968382,0.5044965725426078,0.411062357687705,0.7694984601738546,0.9120682084309129,0.8723841917719469,-0.05177527705580681,-0.066205533596838,-0.0581197609484046,0.05299022046704588,0.03805632661766811,-0.008013758782201452,-0.014690638160025915
