ga,first_bmi,delta_bmi,age,height,predicted_y,predicted_logit,conditional_low,conditional_high,new_woman_low,new_woman_high
12,30,0.0,28.897260273972602,161.0503913894325,0.0647878782748213,-2.669654849513795,0.03998883758575408,0.10331100855320997,0.025346210906349132,0.15579469600995738
14,30,0.0,28.897260273972602,161.0503913894325,0.06767936949966032,-2.6228953803136394,0.041823040293720984,0.10772375282565405,0.02652734614604022,0.1620440722558962
16,30,0.0,28.897260273972602,161.0503913894325,0.0706901539841544,-2.576135911113484,0.04373754101153567,0.11230137399674649,0.027761954589593237,0.16849409598784848
18,30,0.0,28.897260273972602,161.0503913894325,0.07382427058900823,-2.5293764419133287,0.04573549718930421,0.11704799975025289,0.029052308076773548,0.17514719474735171
20,30,0.0,28.897260273972602,161.0503913894325,0.08293816962410103,-2.4030795108839214,0.05157482569679392,0.130744756601065,0.032834884360333605,0.19414769643499505
22,30,0.0,28.897260273972602,161.0503913894325,0.09306415842162248,-2.2767825798545136,0.05811429350041629,0.14577965924478078,0.03709113414420223,0.21467298216241226
24,30,0.0,28.897260273972602,161.0503913894325,0.10428584979218486,-2.1504856488251063,0.06542573836573692,0.16222083667125906,0.04187521617729036,0.23673075122949583
25,30,0.0,28.897260273972602,161.0503913894325,0.11033368579821401,-2.0873371833104026,0.0693945610280085,0.17098711773896888,0.04448342740916868,0.24832998699647554
10,32,0.0,28.897260273972602,161.0503913894325,0.05773783343468283,-2.7923708935607072,0.035534822334157536,0.09248352615139574,0.022484914294162366,0.14032748255027672
11,32,0.0,28.897260273972602,161.0503913894325,0.059023018871870135,-2.7689911589606298,0.03634485420423737,0.09446457933841686,0.02300456328080964,0.1431717003446266
12,32,0.0,28.897260273972602,161.0503913894325,0.060334979469706174,-2.745611424360552,0.03717263942276694,0.09648355632610651,0.023535932719137776,0.1460637712398607
14,32,0.0,28.897260273972602,161.0503913894325,0.06304113355511164,-2.6988519551603964,0.03888290096243906,0.10063740766215237,0.024634841082382453,0.15199308903300002
16,32,0.0,28.897260273972602,161.0503913894325,0.06586015731440885,-2.652092485960241,0.04066852563919415,0.10494931972026957,0.02578370339169677,0.15811853364123163
18,32,0.0,28.897260273972602,161.0503913894325,0.06879598411403275,-2.6053330167600857,0.042532522968199926,0.10942350211389541,0.026984661364681504,0.16444296820128954
20,32,0.0,28.897260273972602,161.0503913894325,0.07734095840037351,-2.4790360857306784,0.047983471287109156,0.12235168726497177,0.030506490718507875,0.18253922132984843
22,32,0.0,28.897260273972602,161.0503913894325,0.08684829596375324,-2.352739154701271,0.05409354266925549,0.13657307511837283,0.034471677960206594,0.20214511014074846
